district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,70432.39,81565.99,237848.41,93.58,64.25,53.90,75267.95,126953.49,441285.41,60.58,389846.79,643506.85
Kiphire,2809.69,12410.70,13.81,210.96,131.96,,1331.84,9404.96,0.00,141.89,15234.20,10736.80
Kohima,20707.82,154130.59,1906.90,56.47,27.81,131.78,36670.53,554310.67,1447.00,29.83,176745.31,592428.20
Longleng,10308.98,38.31,0.15,170.44,,,6048.59,0.00,0.00,171.07,10347.44,6048.59
Mokokchung,18966.85,54453.71,111.88,93.33,91.70,,20321.38,59380.36,0.00,92.26,73532.44,79701.74
Mon,11525.15,17855.16,4.78,101.05,79.18,,11405.23,22550.32,0.00,86.54,29385.09,33955.55
Noklak,2617.50,0.00,0.00,83.29,,,3142.68,0.00,0.00,83.29,2617.50,3142.68
Peren,17115.53,1604.48,52.65,139.87,74.98,,12237.12,2139.96,0.00,130.57,18772.66,14377.08
Phek,11747.06,16677.03,20.17,83.41,106.68,,14083.11,15632.93,0.00,95.72,28444.26,29716.04
Tuensang,6558.17,26295.45,68.00,159.65,141.62,,4107.83,18567.19,0.00,145.19,32921.62,22675.02
Wokha,6280.26,22620.07,57.47,104.04,71.54,,6036.47,31618.46,0.00,76.90,28957.80,37654.93
Zunheboto,8625.17,24859.65,112.71,91.06,153.13,1878.50,9472.35,16234.66,6.00,130.66,33597.53,25713.01
