district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,183.59,22,7679.06,3135,232.54,33,2633.57,530,372.89,62,11101.65,3782,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,13.37,13,0.70,2,14.07,15,0.00,0
Kohima,28.65,11,8274.47,2291,0.00,0,1253.44,252,18.04,17,9574.60,2571,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,92.93,18,0.00,0,92.93,18,0.00,0
Mokokchung,8.00,4,839.82,339,0.00,0,83.96,26,0.00,0,931.78,369,0.00,0
Mon,0.00,1,1253.18,314,0.00,0,180.51,62,25.00,2,1458.69,379,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,0.00,2,0.00,0,0.00,2,0.00,0
Peren,10.50,1,0.00,0,0.00,0,4.25,11,1.00,1,15.75,13,0.00,0
Phek,0.00,1,87.32,26,0.00,0,58.63,25,0.23,1,146.18,53,0.00,0
Tuensang,0.00,1,72.60,19,0.00,0,56.07,23,0.00,2,128.67,45,0.00,0
Wokha,1.00,3,518.80,238,0.00,0,108.03,24,7.70,7,635.53,272,0.00,0
Zunheboto,6.00,3,617.48,168,0.00,0,42.24,17,6.50,3,672.22,191,0.00,0
