district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,926.61,284,798,1699.29,458.66,326.30,245,13.16,2478.87,1118,130.02,942,4060
Kiphire,18.40,18,74,88.76,106.85,15.79,16,15.78,100.05,106,11.63,337,1005
Kohima,180.01,110,145,221.03,340.48,85.20,68,15.87,536.70,424,94.31,749,2971
Longleng,2.99,3,0,0.00,75.46,4.73,9,14.24,33.22,60,75.46,280,280
Mokokchung,429.46,165,532,768.51,256.17,164.81,154,13.59,1213.13,781,49.19,543,2219
Mon,86.38,55,191,186.17,191.52,32.30,47,15.27,211.46,216,53.38,748,2039
Noklak,0.00,0,0,0.00,5.49,0.00,0,0.00,5.08,16,5.49,69,69
Peren,252.57,89,27,34.51,67.46,20.89,31,6.76,308.84,254,16.50,188,659
Phek,125.30,77,153,169.27,239.77,42.75,45,13.73,311.32,280,81.60,759,2025
Tuensang,50.20,28,92,104.22,141.61,20.61,35,12.12,170.03,193,44.34,840,1798
Wokha,90.25,55,145,185.89,119.88,24.04,38,6.68,359.82,275,29.70,422,1041
Zunheboto,40.65,29,104,117.16,160.53,25.81,28,15.16,170.27,156,64.28,529,1222
