district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total_settled,total_settled_with_wage,total_trained,wage_employe
Bankura,53.69,272.0,1801.0,2088.0,70.49,3889.0,4487.0,6365.0,598.0
Birbhum,73.78,212.0,1106.0,3112.0,67.87,4218.0,4225.0,6225.0,7.0
Cooch Behar,46.37,118.0,1004.0,868.0,67.47,1872.0,1906.0,2825.0,34.0
Darjeeling,53.83,91.0,729.0,850.0,68.0,1579.0,1619.0,2381.0,40.0
Hooghly,85.07,240.0,639.0,3641.0,69.44,4280.0,4280.0,6164.0,0.0
Howrah,24.35,576.0,9001.0,2897.0,86.27,11898.0,12509.0,14500.0,611.0
Jalpaiguri,78.28,237.0,854.0,3078.0,84.43,3932.0,4153.0,4919.0,221.0
Malda,55.32,196.0,1677.0,2076.0,73.27,3753.0,4347.0,5933.0,594.0
Nadia,39.91,183.0,1763.0,1171.0,63.33,2934.0,3007.0,4748.0,73.0
North 24 Parganas,59.52,239.0,1970.0,2897.0,80.7,4867.0,4964.0,6151.0,97.0
Purba Bardhaman,55.76,218.0,1679.0,2116.0,68.59,3795.0,3795.0,5533.0,0.0
Purba Medinipur,49.77,204.0,2165.0,2145.0,73.96,4310.0,4356.0,5890.0,46.0
Purulia,62.9,163.0,755.0,1280.0,48.56,2035.0,2035.0,4191.0,0.0
South 24 Parganas,82.4,274.0,809.0,3787.0,63.33,4596.0,4640.0,7327.0,44.0
Uttar Dinajpur,54.49,190.0,1469.0,1759.0,69.55,3228.0,3298.0,4742.0,70.0
