district,credit_linkage,no_of_programs,own,self_bank,settlement,total_settled_with_wage,total_settled_without_wage,total_trained,wage_employed
Bankura,64.86,5.0,13.0,24.0,39.37,50.0,37.0,127.0,13.0
Birbhum,84.44,6.0,14.0,76.0,46.67,91.0,90.0,195.0,1.0
Cooch Behar,,4.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
Darjeeling,,5.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0
Hooghly,,5.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0
Howrah,17.39,6.0,19.0,4.0,13.53,23.0,23.0,170.0,0.0
Jalpaiguri,,4.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0
Malda,0.0,4.0,2.0,0.0,1.52,2.0,2.0,132.0,0.0
Nadia,,3.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
North 24 Parganas,46.77,7.0,33.0,29.0,53.37,95.0,62.0,178.0,33.0
Purba Bardhaman,100.0,6.0,0.0,28.0,19.18,28.0,28.0,146.0,0.0
Purba Medinipur,41.18,6.0,10.0,7.0,10.3,17.0,17.0,165.0,0.0
Purulia,,5.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0
South 24 Parganas,,4.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0
Uttar Dinajpur,0.0,4.0,23.0,0.0,30.67,23.0,23.0,75.0,0.0
