district,amount,kcc_disbursement_during_01_04_2019_to_30_06_2019_fresh_renewal_no,of_achievement_no,target_no
Alipurduar,19.69,3036.0,6.07,50000.0
Bankura,62.16,25262.0,18.04,140000.0
Birbhum,52.8,8072.0,4.89,165000.0
Cooch Behar,44.97,5740.0,5.74,100000.0
Dakshin Dinajpur,55.76,8539.0,7.76,110000.0
Darjeeling,3.13,1325.0,1.89,70000.0
Hooghly,99.2,19091.0,7.79,245000.0
Howrah,72.94,13852.0,19.79,70000.0
Jalpaiguri,30.68,5647.0,9.41,60000.0
Jhargram,83.27,34384.0,36.19,95000.0
Kalimpong,0.19,183.0,0.92,20000.0
Kolkata,0.0,0.0,,0.0
Malda,101.66,30005.0,14.29,210000.0
Murshidabad,62.83,14677.0,5.87,250000.0
Nadia,57.58,11884.0,4.24,280000.0
North 24 Parganas,116.85,18243.0,7.6,240000.0
Paschim Bardhaman,19.92,13855.0,13.86,100000.0
Paschim Medinipur,324.0,139120.0,44.88,310000.0
Purba Bardhaman,169.04,51331.0,19.01,270000.0
Purba Medinipur,486.57,191192.0,65.93,290000.0
Purulia,27.91,8321.0,5.55,150000.0
South 24 Parganas,123.96,44087.0,26.72,165000.0
Uttar Dinajpur,34.91,5007.0,4.55,110000.0
