district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,29.71,321.0,29.92,9502.0,3.0,9826.0
Bankura,54.39,928.0,60.38,12342.0,171.0,13441.0
Birbhum,102.97,2625.0,110.46,14852.0,948.0,18425.0
Cooch Behar,59.67,766.0,63.32,19407.0,118.0,20291.0
Hooghly,175.18,2705.0,192.48,33878.0,598.0,37181.0
Howrah,156.62,2335.0,167.0,34588.0,274.0,37197.0
Jalpaiguri,121.62,1353.0,130.47,38660.0,231.0,40244.0
Kolkata,243.16,3365.0,260.51,47253.0,923.0,51541.0
Malda,100.88,1400.0,105.53,25477.0,2502.0,29379.0
Murshidabad,161.03,2006.0,172.06,49656.0,2182.0,53844.0
Nadia,159.1,1677.0,170.74,44698.0,1688.0,48063.0
Paschim Medinipur,106.16,1682.0,115.14,22059.0,303.0,24044.0
Purba Bardhaman,257.62,4166.0,280.57,50604.0,1122.0,55892.0
Uttar Dinajpur,53.57,702.0,58.11,14719.0,957.0,16378.0
