district,forwarded_to_banks_no,mm,mm_claimed_no,mm_disbursed_no,pending_for_mm_disb_no,pending_no,rejected_no,sanctioned_no
Alipurduar,308.0,3.5,4.0,2.0,1.0,130.0,176.0,3.0
Bankura,6.0,0.0,14.0,14.0,0.0,3.0,1.0,10.0
Birbhum,0.0,0.0,7.0,7.0,0.0,0.0,0.0,5.0
Cooch Behar,463.0,6.87,15.0,7.0,5.0,293.0,163.0,2.0
Darjeeling,4.0,0.0,4.0,3.0,0.0,3.0,1.0,17.0
Hooghly,1.0,13.96,6.0,4.0,2.0,0.0,0.0,4.0
Howrah,19.0,0.0,6.0,6.0,0.0,13.0,2.0,13.0
Jalpaiguri,56.0,0.0,2.0,1.0,0.0,41.0,15.0,3.0
Kalimpong,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
Kolkata,122.0,2.83,1.0,0.0,1.0,91.0,29.0,1.0
Malda,3.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0
Murshidabad,7.0,11.7,30.0,23.0,6.0,4.0,1.0,14.0
Nadia,0.0,0.0,12.0,6.0,0.0,0.0,0.0,10.0
North 24 Parganas,510.0,0.7,22.0,17.0,1.0,333.0,160.0,18.0
Paschim Medinipur,,0.74,6.0,4.0,1.0,2.0,1.0,1.0
Purulia,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0
South 24 Parganas,9.0,9.45,33.0,26.0,2.0,6.0,2.0,33.0
