district,Total Advance,Overall CD Ratio,cd_ratio_as_on_june,cd_ratio_as_on_june_2019_deposit
Alipurduar,1781.2,40.53,41.01,4395.22
Bankura,4293.9,42.21,42.13,10173.0
Birbhum,5582.58,38.83,35.41,14378.11
Cooch Behar,4423.03,63.05,65.91,7015.1
Dakshin Dinajpur,2096.46,52.04,51.03,4028.86
Darjeeling,8851.96,57.66,51.98,15350.85
Hooghly,11181.43,27.61,25.88,40502.08
Howrah,13965.97,42.87,38.43,32576.39
Jalpaiguri,5096.63,52.78,26.56,9655.66
Jhargram,1403.61,40.11,40.24,3499.02
Kalimpong,472.25,32.29,0.0,1462.62
Kolkata,265090.72,81.77,85.44,324186.61
Malda,6263.17,54.1,51.0,11577.52
Murshidabad,6738.11,56.27,49.08,11974.89
Nadia,14278.96,49.02,46.89,29131.13
Paschim Bardhaman,10997.16,40.38,40.77,27231.19
Paschim Medinipur,8687.76,44.96,43.5,19323.03
Purba Bardhaman,10145.79,41.27,41.45,24581.33
Purba Medinipur,9901.68,42.57,43.5,23260.16
Purulia,3287.81,42.77,43.28,7686.72
Uttar Dinajpur,3895.0,59.6,55.7,6535.0
