district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending_as_on
Alipurduar,12.0,0.0,3.0,2.0,17.0
Bankura,17.0,4.0,5.0,7.0,33.0
Birbhum,11.0,2.0,12.0,7.0,32.0
Cooch Behar,55.0,3.0,1.0,0.0,59.0
Dakshin Dinajpur,77.0,3.0,0.0,2.0,82.0
Darjeeling,10.0,1.0,6.0,2.0,19.0
Hooghly,88.0,16.0,69.0,4.0,177.0
Howrah,77.0,12.0,77.0,9.0,175.0
Jalpaiguri,19.0,6.0,6.0,1.0,32.0
Jhargram,3.0,0.0,1.0,3.0,7.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,229.0,65.0,160.0,31.0,485.0
Malda,42.0,27.0,7.0,18.0,94.0
Murshidabad,126.0,76.0,2.0,31.0,235.0
Nadia,34.0,37.0,7.0,4.0,82.0
Paschim Bardhaman,38.0,19.0,31.0,3.0,91.0
Paschim Medinipur,15.0,25.0,2.0,1.0,43.0
Purba Bardhaman,29.0,14.0,12.0,8.0,63.0
Purba Medinipur,94.0,9.0,5.0,0.0,108.0
Purulia,9.0,5.0,5.0,0.0,19.0
Uttar Dinajpur,14.0,1.0,7.0,9.0,31.0
