district,amount,disbursement_no,no_of_cases_sponsored,pending_with_bank_for_disbursement_no,s_u_b_s_idy_released_no,sanctioned,sanctioned_cases_total_project_cost_involved,subsidy_involved
Alipurduar,0.0,0.0,581.0,0.0,0.0,259.0,551.67,401.16
Bankura,0.0,0.0,856.0,0.0,0.0,382.0,1023.99,292.02
Birbhum,0.0,0.0,323.0,0.0,0.0,251.0,499.15,150.26
Cooch Behar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dakshin Dinajpur,0.0,0.0,75.0,0.0,0.0,208.0,444.48,213.91
Darjeeling,0.0,0.0,50.0,0.0,0.0,14.0,50.0,15.0
Hooghly,0.0,0.0,1902.0,0.0,0.0,572.0,1908.15,595.7
Howrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalpaiguri,0.0,0.0,815.0,0.0,0.0,432.0,1079.53,346.48
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalimpong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata,0.0,0.0,230.0,0.0,0.0,220.0,825.7,238.07
Malda,0.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0
Murshidabad,0.0,0.0,1370.0,0.0,0.0,341.0,816.51,246.59
Nadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North 24 Parganas,0.0,0.0,740.0,0.0,0.0,222.0,540.76,162.93
Paschim Bardhaman,0.0,0.0,514.0,0.0,0.0,30.0,109.65,31.91
Paschim Medinipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purba Bardhaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purba Medinipur,0.0,0.0,951.0,0.0,0.0,602.0,1693.1,487.62
Purulia,0.0,0.0,23.0,0.0,0.0,90.0,219.86,65.96
South 24 Parganas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
