district,achievement_no,amount,of_achievement_no,pending_shg_no,target_no,total_appl_submit_no
Alipurduar,2089.0,25.96,14.82,1196.0,14100.0,3285.0
Bankura,2074.0,92.69,7.2,3913.0,28786.0,5987.0
Birbhum,3903.0,8.82,10.17,456.0,38359.0,4359.0
Cooch Behar,2317.0,50.09,10.39,2473.0,22293.0,4790.0
Dakshin Dinajpur,956.0,44.47,6.37,1790.0,15012.0,2746.0
Hooghly,2452.0,40.01,11.07,1736.0,22150.0,4188.0
Howrah,2706.0,6.78,14.78,327.0,18313.0,3033.0
Jalpaiguri,1897.0,9.65,7.92,472.0,23940.0,2369.0
Jhargram,1685.0,0.8,19.46,61.0,8661.0,1746.0
Kalimpong,194.0,0.0,17.23,0.0,1126.0,194.0
Malda,1990.0,25.81,5.37,1159.0,37084.0,3149.0
Murshidabad,6416.0,17.41,16.88,993.0,38008.0,7409.0
Nadia,1005.0,96.26,4.69,4006.0,21447.0,5011.0
Paschim Medinipur,4159.0,26.75,12.51,1183.0,33238.0,5342.0
Purba Medinipur,5040.0,30.35,12.61,1060.0,39976.0,6100.0
Purulia,4142.0,16.83,20.23,998.0,20472.0,5140.0
Uttar Dinajpur,1491.0,66.29,11.15,2894.0,13375.0,4390.0
