district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,345.66,23,5029.09,4025,306.16,48,774.54,599,133.09,40,6590.54,4736,2.00,1
Kiphire,0.00,0,0.00,0,0.00,0,11.30,2,0.64,3,11.94,5,0.00,0
Kohima,19.40,5,3879.88,1945,15.00,3,165.65,69,39.62,17,4119.55,2039,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,36.50,7,0.00,0,36.50,7,0.00,0
Mokokchung,0.00,3,263.06,334,0.00,0,26.46,19,0.00,1,289.52,357,0.00,0
Mon,0.00,1,65.19,55,0.00,0,38.49,33,0.00,0,103.68,89,0.00,0
Noklak,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,1,0.00,0
Peren,0.40,2,0.00,0,0.00,0,3.60,9,0.00,1,4.00,12,0.00,0
Phek,0.20,1,0.00,0,0.00,0,34.14,20,0.00,0,34.34,21,0.00,0
Tuensang,11.00,1,0.00,0,0.00,0,38.68,20,0.00,2,49.68,23,0.00,0
Wokha,8.40,3,56.16,29,0.00,0,94.81,41,16.54,7,175.91,80,0.00,0
Zunheboto,0.00,3,59.40,20,0.00,0,26.27,5,0.00,1,85.67,29,0.00,0
