district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,393.91,202,1485.09,800,6280.37,3665,44080.45,19234
Kiphire,0.00,0,7.39,1,3.20,1,24.95,3
Kohima,113.32,36,273.30,123,5589.16,1869,22964.81,9093
Longleng,0.00,0,0.16,1,10.00,1,11.92,3
Mokokchung,3.38,3,91.39,26,1038.78,373,9581.90,4531
Mon,16.17,5,51.18,17,207.87,95,490.71,338
Noklak,8.00,1,10.70,3,0.00,0,0.00,0
Peren,0.00,0,9.21,1,32.40,3,107.36,17
Phek,10.82,3,61.88,11,36.62,10,200.47,40
Tuensang,15.16,4,24.47,7,44.43,9,91.19,16
Wokha,98.03,17,148.65,40,660.18,140,2986.62,853
Zunheboto,16.94,4,36.47,14,96.47,28,464.10,234
