district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,3776,7490.76,5517232,159822.79,279801256,776216330.43,535967,410611228.55,44418999,260317825.95,966651,19407.55
Kiphire,0,0.00,299574,8942.56,0,0.00,4992,285.40,0,0.00,28063,561.88
Kohima,1721,2134.31,2347988,62225.02,57660593,158116804.79,232157,210293861.22,14909098,96275662.32,533984,9390.96
Longleng,0,0.00,254924,7716.76,0,0.00,41,0.48,19,0.33,19472,293.86
Mokokchung,372,532.20,1128673,30317.15,23053959,1138975.94,81869,3167.10,6567500,1542270.95,219462,2883.18
Mon,0,0.00,912235,22879.37,4014,87.72,9033,350.49,5314,621.70,85486,1176.41
Noklak,0,0.00,104986,2637.39,0,0.00,690,77.82,0,0.00,7013,111.92
Peren,0,0.00,397165,8814.04,0,0.00,1070,46.15,4,0.07,49001,837.58
Phek,0,0.00,642757,17452.32,0,0.00,3812,239.34,4,0.26,90258,1249.85
Tuensang,0,0.00,699062,19941.05,0,0.00,5066,324.90,7,0.27,67018,992.83
Wokha,441,857.89,842184,19250.32,17103,354.40,15081,625.34,3307,1838.09,108543,1431.94
Zunheboto,0,0.00,525899,13487.01,0,0.00,10781,530.76,6,0.37,71878,1192.12
