district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,13298.03,54540,43895,54276,96732,8404,53213,17623,98435,77919
Kiphire,298.06,8014,7561,8342,14125,1565,11773,5979,15575,9601
Kohima,2499.85,14433,10757,14051,21265,2425,11945,10312,25190,8310
Longleng,224.53,8639,7223,8692,21206,298,13273,15863,15862,0
Mokokchung,815.38,15037,14650,15568,27682,4299,16009,11603,29687,11507
Mon,740.75,23181,22880,20924,40726,3392,36608,15866,46061,30205
Noklak,105.69,3063,3331,1247,6160,235,5171,6346,6394,48
Peren,387.81,9333,7388,8531,17991,231,11326,16702,16721,22
Phek,837.26,12388,10541,13974,21302,2051,15795,11162,22929,11773
Tuensang,516.74,15742,15336,9171,30459,1820,25178,6283,31078,24797
Wokha,435.17,9139,5937,6594,13523,1103,9343,5324,15076,7733
Zunheboto,294.15,8630,9388,4840,13734,3722,7458,13694,18018,4324
