district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,837.23,256,797,1696.91,398.37,262.72,202,11.63,2259.54,1008,150.34,700,3538
Kiphire,30.70,29,57,69.50,73.32,15.34,13,17.75,86.42,82,19.16,308,995
Kohima,237.71,148,200,304.75,289.54,59.95,47,12.92,464.06,313,133.58,573,2959
Longleng,23.85,38,1,0.53,40.67,3.45,5,12.78,27.00,51,40.67,147,147
Mokokchung,383.43,192,555,698.99,209.29,75.55,70,8.13,929.72,675,41.85,426,2184
Mon,44.71,30,179,170.71,169.83,36.33,36,20.49,177.31,184,58.68,693,2004
Noklak,0.00,0,17,14.21,23.87,4.72,8,26.19,18.02,24,0.35,48,267
Peren,100.62,68,57,74.66,59.80,6.44,4,3.95,162.88,182,7.50,127,587
Phek,69.26,60,189,183.58,233.83,45.43,35,21.72,209.20,222,71.32,612,1987
Tuensang,69.39,52,80,99.13,132.99,18.22,9,11.55,157.81,138,47.67,625,1539
Wokha,110.27,66,143,198.04,124.60,17.99,15,6.51,276.46,211,39.76,295,976
Zunheboto,72.58,40,114,131.16,203.49,20.81,19,14.26,145.89,128,135.49,450,1155
