district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,382.55,86,534.84,76,1115.04,318,42.18,2643.24,798
Kiphire,0.00,0,1.90,1,46.44,19,7.41,626.60,316
Kohima,256.82,66,483.82,67,259.62,119,28.05,925.44,489
Longleng,0.00,0,0.00,0,14.87,16,4.60,323.27,177
Mokokchung,222.44,35,404.78,36,615.79,116,52.01,1184.08,274
Mon,55.38,20,148.61,19,26.59,13,7.46,356.28,217
Noklak,0.00,0,0.00,0,1.61,1,2.70,59.61,39
Peren,0.80,1,0.00,0,299.03,125,61.25,488.25,207
Phek,11.28,3,0.00,0,583.75,221,62.81,929.36,363
Tuensang,0.00,0,0.00,0,7.99,6,1.71,468.27,253
Wokha,31.20,4,33.10,4,4.80,8,1.56,308.02,114
Zunheboto,0.00,0,0.00,0,35.22,22,6.76,521.08,310
