district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,59346.14,69882.36,202731.61,87.31,57.64,47.74,67970.59,121234.67,424619.47,54.08,331960.11,613824.73
Kiphire,2711.44,11040.60,0.00,229.28,127.96,,1182.58,8628.32,0.00,140.17,13752.04,9810.90
Kohima,18192.21,123917.92,1584.81,53.05,24.64,124.01,34289.35,502903.61,1278.00,26.69,143694.94,538470.96
Longleng,8388.08,14.47,0.13,142.89,,,5870.25,0.00,0.00,143.14,8402.68,5870.25
Mokokchung,16011.40,48427.71,105.83,85.20,78.49,,18792.90,61697.22,0.00,80.19,64544.94,80490.12
Mon,6372.03,15689.46,8.47,93.45,79.25,,6818.92,19797.16,0.00,82.92,22069.96,26616.08
Noklak,2364.81,541.15,0.00,81.15,45.83,,2914.17,1180.81,0.00,70.96,2905.96,4094.98
Peren,14615.97,1653.10,24.55,122.12,93.59,,11968.91,1766.39,0.00,118.63,16293.62,13735.30
Phek,9889.32,14938.16,0.48,78.33,88.02,,12624.49,16971.64,0.00,83.89,24827.96,29596.13
Tuensang,5701.62,23539.12,39.50,151.21,134.71,,3770.56,17474.16,0.00,137.82,29280.24,21244.72
Wokha,5404.58,23712.82,3350.95,86.59,82.56,,6241.76,28722.56,0.00,92.86,32468.35,34964.32
Zunheboto,7695.48,20627.00,73.77,79.89,139.73,,9632.57,14762.53,0.00,116.40,28396.25,24395.10
