district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,22.16,18,0.97,3,7.80,10,5.90,132.11,104
Kiphire,1.03,2,0.00,0,1.50,2,26.50,5.66,11
Kohima,36.36,39,6.95,2,3.24,3,3.35,96.73,98
Longleng,9.67,18,0.24,3,2.25,3,23.05,9.76,19
Mokokchung,62.70,27,0.00,0,11.28,17,6.95,162.33,154
Mon,18.81,16,0.01,1,5.35,8,8.28,64.59,80
Noklak,0.00,0,0.00,0,0.00,0,0.00,0.46,1
Peren,6.24,3,0.05,5,0.00,0,0.00,15.66,49
Phek,6.67,8,0.05,1,0.05,1,0.28,18.18,26
Tuensang,17.16,17,0.11,3,1.60,1,7.01,22.81,27
Wokha,14.50,9,0.00,0,6.34,6,6.50,97.49,99
Zunheboto,14.20,8,0.00,0,2.90,3,8.82,32.88,33
