district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,62,61,31,64,10,74,12,18,34,154,64
Kiphire,2,1,0,13,0,13,1,2,0,3,3
Kohima,37,47,1,25,4,29,11,31,1,85,43
Longleng,0,3,0,6,5,11,2,0,0,3,2
Mokokchung,9,32,0,13,4,17,12,10,0,41,22
Mon,3,5,0,10,6,16,5,3,0,8,8
Noklak,1,0,0,0,2,2,1,0,0,1,1
Peren,5,1,0,9,2,11,3,1,0,6,4
Phek,8,1,0,11,6,17,5,3,0,9,8
Tuensang,0,7,0,2,10,12,5,2,0,7,7
Wokha,3,9,1,2,3,5,5,6,0,13,11
Zunheboto,2,6,0,5,1,6,6,2,0,8,8
