district,no_of_brs,total_deposit,total_advance,cd_ratio
Dhalai,46,95549.98,97200.58,102
Gomati,64,178216.62,115496.86,65
Khowai,38,111687.01,80979.62,73
North Tripura,48,134224.66,74184.92,55
Sepahijala,57,149361.06,117727.95,79
South Tripura,59,173494.42,106042.29,61
Unakoti,32,87050.01,57461.82,66
West Tripura,193,1709122.09,827505.66,48
