District,Total ACP Disbursement Amt (NPS),Total ACP Disbursement No. (NPS),Other NPS Amt,A/C NPS Others,Personal Loans Amt (NPS),Personal Loans A/C (NPS),Housing Amt (NPS),Housing A/C (NPS),Amt. (NPS) Education,A/C (NPS) Education,MSME Amt (NPS),MSME No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,2711.69,683,2267.86,595,328.89,71,113.27,14,0,0,0,0,1.67,3
East Jaintia Hills,3544.02,716,3019.71,624,460.6,89,63.71,3,0,0,0,0,0,0
East Khasi Hills,146788.46,14462,132108.4,12520,8881.71,1548,4768.93,241,738.36,140,285.45,7,5.61,6
North Garo Hills,1684.98,299,1560.44,276,53,15,71.54,8,0,0,0,0,0,0
Ri Bhoi,21205.52,2096,18975.05,1853,713.62,139,1478.33,102,38.52,2,0,0,0,0
South Garo Hills,1223.02,306,1026.81,267,102.63,30,93.58,9,0,0,0,0,0,0
West Garo Hills,10276.24,2103,8085.22,1760,1257.09,256,926.53,75,0,0,0,0,7.4,12
West Khasi Hills,1347.16,276,889.09,170,456.45,105,1.62,1,0,0,0,0,0,0
