District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
East Garo Hills,0,0,0,0,142.18,267,29.09,46,849.22,879
East Jaintia Hills,0,0,0,0,7.1,5,7.1,5,1432.27,964
East Khasi Hills,24.42,23,31.27,30,95.25,106,15.69,12,3554.31,2708
Eastern West Khasi Hills,0,0,0,0,62.48,49,50.21,27,1891.22,984
North Garo Hills,0,0,0,0,86.35,177,22.54,39,717.88,807
Ri Bhoi,0,0,0,0,33.52,45,24,37,2134.95,1709
South Garo Hills,1.28,1,3.16,5,163.62,201,47.26,53,528.68,560
South West Garo Hills,0,0,0,0,38.73,52,22.59,31,732.69,614
South West Khasi Hills,0,0,0,0,15.45,13,11.17,8,894.9,661
West Garo Hills,19.99,24,37.01,47,260.35,340,93.44,118,2446.97,2053
West Jaintia Hills,11.36,7,28.79,14,59.49,35,8.28,10,2197.83,1501
West Khasi Hills,0,0,1.11,2,8.49,11,8.11,9,1824.38,949
