District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No.
East Garo Hills,319.95,174,215.46,48,93.21,103,11.28,23
East Jaintia Hills,633.27,202,441.99,81,174,102,17.28,19
East Khasi Hills,5268.78,4264,2066.57,354,2536.45,2005,665.76,1905
Eastern West Khasi Hills,109.14,29,67.28,9,40.81,17,1.05,3
North Garo Hills,199.87,183,96.27,23,97.44,125,6.16,35
Ri Bhoi,977.09,954,375.94,76,429.47,410,171.68,468
South Garo Hills,130.03,120,89.74,26,39.14,67,1.15,27
South West Garo Hills,108.41,113,59.33,18,46.84,83,2.24,12
South West Khasi Hills,88.28,58,64.03,16,24.25,42,0,0
West Garo Hills,1598.46,1055,979.96,211,468.86,382,149.64,462
West Jaintia Hills,957.67,488,493.26,82,404.86,264,59.55,142
West Khasi Hills,337.31,192,178.13,34,149.25,133,9.93,25
