District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
East Garo Hills,222.29,8209,605.18,12937,2141.02,15578,460.11,528,69.61,27,24202.31,2246965
East Jaintia Hills,281.45,8900,3402.27,56310,424866.86,26565,768.27,1484,85261.9,39,59579.27,2160181
East Khasi Hills,12410.18,370885,75673.71,1483995,5198027.58,339820,4712.74,14116,4010.3,431,581129.96,20818554
Eastern West Khasi Hills,160.67,5129,1188.9,33910,885.62,4103,0,0,1.19,9,7709.84,471191
North Garo Hills,219.06,7252,512.93,14462,509.11,5113,2.54,13,85.52,14,22889.42,2811597
Ri Bhoi,1452.59,57176,4429.06,122745,418644.86,26233,1187.03,2218,65,31,98299.26,4344527
South Garo Hills,129.44,4953,182.93,4737,442.19,2225,23.13,13,0.01,3,15798.78,1383148
South West Garo Hills,239.98,8660,356.64,8424,3081.35,21860,0.23,2,247.29,33,27102.11,2096780
South West Khasi Hills,132.17,4507,1041.02,25261,446.73,1562,91.56,186,3.49,11,6477.5,398856
West Garo Hills,1216.3,47534,3832.92,95180,297520.54,70974,1418.25,1807,1771.15,268,162504.21,9683178
West Jaintia Hills,613.57,24675,7163.76,167824,216162.74,25369,471.43,793,70050.51,95,60968.4,2394145
West Khasi Hills,226.52,7212,2758.19,72848,1940.86,10929,21.78,72,6.85,12,17555.4,995613
