District,Plantation & Horticulture Amt,Plantation Horticulture A/C No.,Farm Mechanization Amt,Farm Mechanization A/C,Forestry and Wasteland Dev Amt,Forestry and Wasteland Dev A/C No.,Crop Loan Amt,Crop Loan A/C
East Garo Hills,10.93,2,64.58,122,0,0,273.28,419
East Jaintia Hills,5.46,1,59,30,1.96,1,90.44,129
East Khasi Hills,10.92,2,20.48,61,29.51,17,2235.49,2761
Eastern West Khasi Hills,0,0,0,0,0,0,306.78,408
North Garo Hills,0,0,0,0,0,0,369.75,462
Ri Bhoi,0,0,3,5,3.87,2,2214.23,2847
South Garo Hills,0,0,2.04,4,0,0,84.04,152
South West Garo Hills,0,0,34.73,101,0,0,224.96,292
South West Khasi Hills,10.93,2,0,0,0,0,177.81,245
West Garo Hills,5.46,1,251.03,457,1.9,1,1038.32,697
West Jaintia Hills,5.46,1,38.19,77,2.23,1,489.28,580
West Khasi Hills,0,0,0,0,2.99,1,469.71,742
