District,No. of Aadhaar Seeded,Rupay Card Activated,No. of Rupay Card Issued,Deposits Held in A/C Amt,No. of Zero Balance A/C,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
East Garo Hills,20649,8083,24757,1178.48,1842,36209,20848,15361,8220,27989
East Jaintia Hills,20342,8896,21993,4101.24,1367,45298,27355,17943,2402,43339
East Khasi Hills,59961,45408,82492,16550.62,11153,167698,96434,71264,59300,109994
Eastern West Khasi Hills,15778,7235,16019,3905.22,1411,45384,22593,22791,5169,32418
North Garo Hills,20961,10356,41004,1368.36,972,50163,28512,21651,3249,46896
Ri Bhoi,27205,18989,40613,5113.31,3294,73459,44283,29176,12948,60484
South Garo Hills,11304,5538,12670,875.07,1488,24962,13500,11462,7171,17791
South West Garo Hills,25233,12184,36890,1816.88,1590,53159,27776,25383,1500,51659
South West Khasi Hills,8579,7005,12979,1332.71,1507,20673,13078,7595,2934,17739
West Garo Hills,82142,36602,142188,5340.25,12349,203401,116289,87112,22761,180646
West Jaintia Hills,24565,15907,35083,5401.31,2825,74014,47993,26021,19647,54372
West Khasi Hills,14459,9548,21567,2922.59,1716,46234,25367,20867,10170,43192
