District,NPS Amt. % NPA,Total Non-Priority NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.67,433.21,214,25972.43,6856,21318.93,5378,3517.74,1317,1095.8,86,1.63,0,38.33,75
East Khasi Hills,0.51,4149.75,2329,818459.76,110841,630364.75,80945,94292.81,25146,86457.1,4265,7303.55,428,41.55,57
Ri Bhoi,1.04,1654.57,1139,158573.47,29656,126464.65,24112,9774.73,4021,22166.17,1503,162.46,5,5.46,15
West Garo Hills,2.29,2385.53,1335,104207.12,27267,76434.33,20044,14128.98,6107,13211.43,967,366.24,8,66.14,141
West Khasi Hills,0.74,107.52,68,14586.49,4119,9198.05,2531,4167.3,1491,1204.86,95,16.28,2,0,0
