District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Total MSME O/S Amt (PS),Total MSME O/S No. (PS),Agri Amt % NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
East Garo Hills,466.15,914,4168.26,2080,19.85,1165.21,3210,5869.14,5887
East Jaintia Hills,919.17,195,12701.55,2447,4.56,231.28,467,5076,2771
East Khasi Hills,11617.46,3761,278035.03,21866,2.89,4116.79,5799,142695.28,29208
Eastern West Khasi Hills,179.7,113,3375.84,1562,7.46,424.72,1029,5692.97,8118
North Garo Hills,405.47,623,2643.9,1729,43.45,1749.15,4112,4025.97,6211
Ri Bhoi,1036.52,826,68998.14,5157,29.14,8606,14907,29537.61,37526
South Garo Hills,426.79,487,1921.47,1121,29.41,832.82,2287,2831.62,3567
South West Garo Hills,440.37,371,3367.22,1425,37.1,1752.76,4730,4724.61,7649
South West Khasi Hills,195.65,92,2048.03,944,7.38,212.98,340,2884.51,3119
West Garo Hills,2471.19,2253,22709.99,8129,21.56,3070.61,8022,14241.45,17345
West Jaintia Hills,1954.46,848,23638.34,7324,6.24,1211.89,1852,19421.43,7277
West Khasi Hills,765.65,394,5175.02,2167,28.49,1889.5,3324,6633.16,8069
