District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
East Garo Hills,608,0,0,836.57,459,11.87,6,3185.14,5182
East Jaintia Hills,966,3.28,35,7169.82,3564,41.82,14,2309.47,2969
East Khasi Hills,2830,30.25,147,121533.78,46088,2434.54,1477,20420.62,28961
Eastern West Khasi Hills,999,1.65,9,10158.26,8604,0,0,4965.75,8197
North Garo Hills,700,1.56,6,1139.3,872,26.38,11,3760.89,5947
Ri Bhoi,1712,5.17,28,22510.05,15674,721.97,392,24244.9,35156
South Garo Hills,584,0,0,695.34,529,10.93,9,1499.81,3214
South West Garo Hills,619,0,0,1841.11,1670,62.53,24,4499.61,7417
South West Khasi Hills,649,0,0,3716.17,3117,2.45,3,2207.71,2975
West Garo Hills,1934,0,0,11572.25,6336,169.24,102,7664.27,15857
West Jaintia Hills,1558,5.78,25,19031.27,7437,44.14,15,5093.33,6513
West Khasi Hills,933,1.19,12,9906.15,6583,29.38,6,5023.09,8082
