district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1341.12,482.38,35.9684,406.68,208.04,51.1557,68.26,10.06,14.7378,1816.06,700.48,38.5714
Baloda Bazar,2972.83,1014.53,34.1267,998.52,357.8,35.833,123.45,25.45,20.6156,4094.8,1397.78,34.1355
Balrampur,478.41,84.13,17.5853,330.35,124.85,37.7932,82.66,3.68,4.452,891.42,212.66,23.8563
Bastar,1082.95,281.81,26.0224,1237.35,409.26,33.0755,61.11,12.46,20.3895,2381.41,703.53,29.5426
Bemetara,2102.64,635.33,30.2158,485.7,138.92,28.602,27.06,5.59,20.6578,2615.4,779.84,29.8172
Bijapur,175.33,48.5,27.6621,88.72,18.14,20.4463,4.02,0.53,13.1841,268.07,67.17,25.0569
Bilaspur,2663.49,851.4,31.9656,6841.91,3057.33,44.6853,306.95,120.53,39.267,9812.35,4029.26,41.0632
Dantewada,80.83,22.22,27.4898,185.35,53.3,28.7564,16.47,3.06,18.5792,282.65,78.58,27.8012
Dhamtari,2567.56,883.83,34.423,744.19,391.34,52.586,61.96,26.36,42.5436,3373.71,1301.53,38.5786
Durg,2920.16,1048.78,35.9152,5227.91,4213.14,80.5894,1448.19,111.95,7.7303,9596.26,5373.87,55.9996
Gariaband,1001.91,293.23,29.2671,176.59,101.44,57.4438,66.79,3.97,5.944,1245.29,398.64,32.0118
Gaurela-Pendra-Marwahi,322.44,89.67,27.8098,266.63,96.57,36.2187,19.28,3.22,16.7012,608.35,189.46,31.1433
Janjgir-Champa,1305.41,353.52,27.0811,1270.08,412.03,32.4413,77.43,15.19,19.6177,2652.92,780.74,29.4295
Jashpur,622.7,148.24,23.806,688.82,235.3,34.1599,52.35,9.4,17.9561,1363.87,392.94,28.8107
Kabirdham,1749.03,676.77,38.694,701.84,195.75,27.891,172.38,82.32,47.755,2623.25,954.84,36.3991
Kanker,1327.68,320.3,24.1248,596.9,223.24,37.3999,37.85,6.81,17.9921,1962.43,550.35,28.0443
Khairagarh-Chhuikhadan-Gandai,923.4,362.96,39.3069,122.02,32.1,26.3072,85.2,41.17,48.3216,1130.62,436.23,38.5833
Kondagaon,737.95,189.37,25.6616,328.81,121.73,37.0214,32.01,8.38,26.1793,1098.77,319.48,29.0761
Korba,665.09,159.98,24.0539,3044.92,976.01,32.0537,105.37,34.28,32.533,3815.38,1170.27,30.6724
Korea,206.23,44.73,21.6894,172.14,84.45,49.0589,77.57,3.74,4.8215,455.94,132.92,29.153
Mahasamund,2631.39,776.91,29.5247,640.31,282.42,44.1068,94.78,18.46,19.4767,3366.48,1077.79,32.0153
Manendragarh-Chirmiri-Bharatpur,262.42,68.01,25.9165,374.56,121.55,32.4514,29.19,4.04,13.8404,666.17,193.6,29.0617
Mohla-Manpur-Ambagarh Chowki,269.59,98.78,36.6408,39.13,15.46,39.5093,62.74,23.85,38.014,371.46,138.09,37.1749
Mungeli,836.27,249.55,29.8408,391.67,131.61,33.6023,27.01,4.99,18.4746,1254.95,386.15,30.7702
Narayanpur,99.55,28.09,28.217,68.37,24.04,35.1616,8.29,1.27,15.3197,176.21,53.4,30.3048
Raigarh,1449.18,365.22,25.2018,3595.28,1592.52,44.2947,90.73,21.27,23.4432,5135.19,1979.01,38.5382
Raipur,7549.55,2554.79,33.8403,25286.14,15585.18,61.6353,4060.34,1382.8,34.0563,36896.03,19522.77,52.9129
Rajnandgaon,2531.41,971.04,38.3596,927.51,886.67,95.5968,221.82,100.69,45.3927,3680.74,1958.4,53.2067
Sakti,818.99,219.81,26.8392,715.8,320.68,44.8002,37.44,7.88,21.047,1572.23,548.37,34.8785
Sarangarh-Bilaigarh,833.78,191.96,23.0229,333.83,117.35,35.1526,18.01,2.27,12.6041,1185.62,311.58,26.2799
Sukma,135.65,40.67,29.9816,107.6,22.3,20.7249,29.43,1.38,4.6891,272.68,64.35,23.5991
Surajpur,802.28,172.76,21.5336,338.54,221.32,65.3748,89.06,6.55,7.3546,1229.88,400.63,32.5747
Surguja,1200.78,235.74,19.6322,1567.88,738.89,47.1267,46.04,11.92,25.8905,2814.7,986.55,35.0499
