district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,112,74,37,1,74,70,0,0,37,38,0,0,1,1,0,0,112,109,0,0
Baloda Bazar,113,49,64,0,49,49,0,0,64,64,0,0,0,0,0,0,113,113,0,0
Balrampur,75,61,13,1,61,61,0,0,13,12,0,0,1,1,0,0,75,74,0,0
Bastar,119,74,4,41,74,74,0,0,4,4,0,0,41,40,0,0,119,118,0,0
Bemetara,88,60,27,1,60,55,0,0,26,27,1,3.8462,1,1,0,0,87,83,1,1.1494
Bijapur,49,40,9,0,39,38,1,2.5641,9,8,0,0,0,0,0,0,48,46,1,2.0833
Bilaspur,267,72,37,158,69,69,3,4.3478,38,39,-1,-2.6316,157,151,1,0.6369,264,259,3,1.1364
Dantewada,44,22,22,0,22,22,0,0,22,22,0,0,0,0,0,0,44,44,0,0
Dhamtari,113,55,21,37,55,54,0,0,21,21,0,0,36,37,1,2.7778,112,112,1,0.8929
Durg,304,77,40,187,76,76,1,1.3158,40,40,0,0,187,188,0,0,303,304,1,0.33
Gariaband,67,39,28,0,38,36,1,2.6316,28,26,0,0,0,0,0,0,66,62,1,1.5152
Gaurela-Pendra-Marwahi,30,9,21,0,9,9,0,0,20,18,1,5,0,0,0,0,29,27,1,3.4483
Janjgir-Champa,121,61,58,2,60,59,1,1.6667,59,58,-1,-1.6949,2,2,0,0,121,119,0,0
Jashpur,91,46,43,2,46,43,0,0,43,43,0,0,2,2,0,0,91,88,0,0
Kabirdham,84,46,36,2,46,44,0,0,36,37,0,0,2,2,0,0,84,83,0,0
Kanker,104,63,40,1,63,61,0,0,40,40,0,0,1,1,0,0,104,102,0,0
Khairagarh-Chhuikhadan-Gandai,39,21,16,2,21,21,0,0,16,16,0,0,2,2,0,0,39,39,0,0
Kondagaon,57,28,28,1,28,27,0,0,27,27,1,3.7037,1,1,0,0,56,55,1,1.7857
Korba,133,44,28,61,44,44,0,0,28,28,0,0,62,62,-1,-1.6129,134,134,-1,-0.7463
Korea,38,17,20,1,16,16,1,6.25,20,21,0,0,1,1,0,0,37,38,1,2.7027
Mahasamund,133,59,73,1,59,53,0,0,73,71,0,0,1,1,0,0,133,125,0,0
Manendragarh-Chirmiri-Bharatpur,56,24,31,1,24,24,0,0,29,29,2,6.8966,1,1,0,0,54,54,2,3.7037
Mohla-Manpur-Ambagarh Chowki,32,30,1,1,30,29,0,0,1,1,0,0,1,1,0,0,32,31,0,0
Mungeli,52,23,28,1,23,23,0,0,28,28,0,0,1,1,0,0,52,52,0,0
Narayanpur,22,8,14,0,7,7,1,14.2857,14,13,0,0,0,0,0,0,21,20,1,4.7619
Raigarh,149,65,28,56,65,65,0,0,28,27,0,0,56,55,0,0,149,147,0,0
Raipur,550,106,69,375,106,105,0,0,69,66,0,0,374,367,1,0.2674,549,538,1,0.1821
Rajnandgaon,132,55,24,53,55,52,0,0,24,22,0,0,52,54,1,1.9231,131,128,1,0.7634
Sakti,55,33,22,0,33,32,0,0,22,21,0,0,0,0,0,0,55,53,0,0
Sarangarh-Bilaigarh,52,32,20,0,32,32,0,0,20,18,0,0,0,0,0,0,52,50,0,0
Sukma,34,27,7,0,27,27,0,0,7,6,0,0,0,0,0,0,34,33,0,0
Surajpur,90,62,26,2,61,60,1,1.6393,26,26,0,0,3,3,-1,-33.3333,90,89,0,0
Surguja,105,59,3,43,57,57,2,3.5088,3,3,0,0,44,44,-1,-2.2727,104,104,1,0.9615
