district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5878.76,2501.33,42.5486,5962.68,5550.49,-83.92,-1.4074,2211.32,2239.31,290.01,13.1148,37.086,40.3444,40
Baloda Bazar,6624.88,4327.36,65.3198,6837.16,6063,-212.28,-3.1048,3923.55,3898.44,403.81,10.292,57.3857,64.2989,40
Balrampur,3266.96,1377.39,42.1612,3437.59,2880.44,-170.63,-4.9637,1332.62,1181.55,44.77,3.3595,38.7661,41.0198,40
Bastar,7201.37,4764.27,66.1578,7531.9,6150.99,-330.53,-4.3884,4566.11,4165.4,198.16,4.3398,60.6236,67.7192,40
Bemetara,4635.57,2588.55,55.841,4945.49,4187.46,-309.92,-6.2667,2324.04,2205.76,264.51,11.3815,46.9931,52.6754,40
Bijapur,1255.58,734.36,58.4877,1328.22,1121.66,-72.64,-5.469,699.86,653.66,34.5,4.9296,52.6916,58.2761,40
Bilaspur,29959.65,20401.48,68.0965,31536.11,29359.19,-1576.46,-4.9989,19798.88,17726.24,602.6,3.0436,62.7816,60.3771,40
Dantewada,2850.48,3763.7,132.0374,2782.85,2489.13,67.63,2.4302,3702.66,2709.85,61.04,1.6485,133.0528,108.8674,40
Dhamtari,6142.75,4199.94,68.3723,6252.1,5685,-109.35,-1.749,3818.03,3617.54,381.91,10.0028,61.068,63.6331,40
Durg,37183.79,22324.02,60.037,36760.15,34171.64,423.64,1.1524,21975.78,20433.07,348.24,1.5847,59.7815,59.7954,40
Gariaband,2548.94,1597.03,62.6547,2674.33,2292.64,-125.39,-4.6887,1453.58,1317.15,143.45,9.8687,54.3531,57.4512,40
Gaurela-Pendra-Marwahi,1574.73,875.94,55.6248,1630.15,1417.47,-55.42,-3.3997,848.88,758.67,27.06,3.1877,52.0737,53.5228,40
Janjgir-Champa,7218.2,4055.62,56.186,7524.73,6878.16,-306.53,-4.0736,3950.79,3607.76,104.83,2.6534,52.5041,52.4524,40
Jashpur,4776.6,2362.7,49.4641,4947.93,4189.32,-171.33,-3.4627,2306.21,2083.18,56.49,2.4495,46.6096,49.726,40
Kabirdham,3639.41,3001.7,82.4777,3849.49,3340.8,-210.08,-5.4573,2576.25,2626.59,425.45,16.5143,66.9244,78.6216,40
Kanker,4552.88,2866.13,62.952,4659.88,4308.43,-107,-2.2962,2724.13,2551.12,142,5.2127,58.4592,59.2123,40
Khairagarh-Chhuikhadan-Gandai,1739.99,1137.71,65.386,1805.28,1636.9,-65.29,-3.6166,907.47,993.41,230.24,25.3716,50.2675,60.6885,40
Kondagaon,2564.11,1717.95,66.9999,2672.91,2364.14,-108.8,-4.0705,1620.7,1529.63,97.25,6.0005,60.6343,64.7013,40
Korba,12806.8,8804.08,68.7454,12393.87,12025.34,412.93,3.3317,8551.16,7414.33,252.92,2.9577,68.9951,61.6559,40
Korea,2443.7,1748.09,71.5346,2474.56,2293.21,-30.86,-1.2471,1784.95,1859.14,-36.86,-2.065,72.132,81.0715,40
Mahasamund,5775.45,4765.21,82.508,6063.19,5366.97,-287.74,-4.7457,4385.53,4174.29,379.68,8.6576,72.3304,77.7774,40
Manendragarh-Chirmiri-Bharatpur,3854.76,1271.48,32.9847,3844.72,3613.89,10.04,0.2611,1243.94,1163.18,27.54,2.2139,32.3545,32.1864,40
Mohla-Manpur-Ambagarh Chowki,1196.27,460.36,38.483,1286.75,1110.63,-90.48,-7.0317,386.42,394.79,73.94,19.1346,30.0307,35.5465,40
Mungeli,2588.65,1726.73,66.7039,2788.35,2372.06,-199.7,-7.1619,1577.31,1451.69,149.42,9.4731,56.5679,61.1995,40
Narayanpur,978,449.59,45.9703,976.08,809.97,1.92,0.1967,431.22,409.64,18.37,4.26,44.1788,50.5747,40
Raigarh,11392.72,9743.46,85.5236,11453.18,10427.62,-60.46,-0.5279,9326.81,8587.91,416.65,4.4672,81.4342,82.3573,40
Raipur,97137.23,112561.53,115.8789,100732.2,85069.8,-3594.97,-3.5688,110339.17,100128.95,2222.36,2.0141,109.5371,117.7021,40
Rajnandgaon,8691.43,6020.88,69.2738,8963.41,8162.92,-271.98,-3.0343,5435.25,5023.81,585.63,10.7747,60.6382,61.5443,40
Sakti,3280.34,1700.66,51.844,3444.08,3044.29,-163.74,-4.7542,1565.77,1472.72,134.89,8.6149,45.4626,48.3765,40
Sarangarh-Bilaigarh,2469.11,1403.1,56.8261,2625.38,2283.55,-156.27,-5.9523,1301.58,1198.47,101.52,7.7998,49.5768,52.4828,40
Sukma,1279.77,601.68,47.0147,1381.93,1109.16,-102.16,-7.3926,555.56,515.81,46.12,8.3015,40.2017,46.5046,40
Surajpur,5384.52,2125.94,39.4824,5532.87,4861.42,-148.35,-2.6812,2043.7,1880.51,82.24,4.0241,36.9374,38.6823,40
Surguja,8673.11,4532.04,52.2539,9584.74,7987.75,-911.63,-9.5113,4454.67,4161.69,77.37,1.7368,46.4767,52.1009,40
