District,Cumulative number of KCC applications Received,PM Kisan KCC Sanctioned (Cumulative),KCC Limit Sanctioned (in Rs lakhs),Application not found to be eligible,Pending Applications,Cumulative Applications Received Consented PMSBY,Consented PMJJBY,Cumulative Applications Sanctioned Consented PMSBY
West Tripura,12561,6012,2718,1440,1874,5044,1438,3265
Sepahijala,14712,8548,2510,2012,1154,1481,301,574
Khowai,11335,5004,1253,1850,1084,1070,229,294
Dhalai,24726,10441,2896,5111,4502,2092,279,411
Gomati,23776,12678,4233,2405,3990,2851,557,1437
South Tripura,25993,12082,3858,2958,5173,4089,718,1941
North Tripura,22407,9786,2264,4585,4021,5803,314,1287
