District,State,"Location(Metro, Urban, Su, Rural)",Address,Date of start of functioning,Name of Sponsoring Bank,Literacy Camps (RBI Std Material),No. of Persons participated in Literacy Camps,Camp Participants Already Having A/C,Camp Participants Opened A/C After
Gomati,Tripura,Semi-Urban,TGB Udaipur Branch,22.09.15,TGB,49,979,937,42
Dhalai,Tripura,Semi-Urban,LDM(Dhalai),19.10.12,PNB,6,78,75,2
Sepahijala,Tripura,Rural,TGB Bishramganj Branch,30.12.15,TGB,30,693,676,17
West Tripura,Tripura,Urban,LDM(West),19.10.12,PNB,7,322,322,0
Unakoti,Tripura,Semi-Urban,LDM(North ),19.10.12,PNB,22,1102,1047,55
Khowai,Tripura,Semi-Urban,TGB Khowai Branch,17.09.15,TGB,26,521,499,22
South Tripura,Tripura,Semi-Urban,TGB Santirbazar Branch,30.12.15,TGB,33,1152,1122,30
North Tripura,Tripura,Semi-Urban,TGB Dharmanagar Branch,05.03.16,TGB,18,470,456,14
