district,quarterly_report_sr_n_o,quarterly_report_no_of_rural_branches_in_the_district,quarterly_report_no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_materials_of_rbi_in_the_quarter,quarterly_report_no_of_literacy_camps_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,quarterly_report_no_of_persons_participated,quarterly_report_out_of_persons_participated_no_of_persons_already_having_bank_a_c_at_the_time_of_attending_the_camp,quarterly_report_out_of_persons_participated_no_of_persons_opened_bank_a_c_after_attending_the_camp
Dhalai,6,34,96,104,1927,1473,454
Gomati,4,35,109,112,1478,937,541
Khowai,3,25,73,76,1428,971,457
North Tripura,7,29,84,90,682,457,225
Sepahijala,2,37,99,101,1428,952,476
South Tripura,5,39,118,124,1025,847,178
Unakoti,8,22,64,68,509,402,107
West Tripura,1,52,159,161,2971,1745,1226
