District,CD RATIO December 2019,CD RATIO March 2020,CD RATIO December 2020,CD RATIO Since December 2019
Dhalai,94,96,97,+3
Gomati,70,64,60,-10
Khowai,67,65,61,-6
North Tripura,53,52,57,+4
Sepahijala,73,72,71,-2
South Tripura,60,57,61,+1
Unakoti,72,75,61,-11
West Tripura,49,51,48,-1
