district,sum_of_aadhaar_seeded,No. of Rupay Card Issued,sum_of_rural_a_c,sum_of_total_a_c,sum_of_total_deposit_rs_in_crore,sum_of_urban_a_c,sum_of_zero_balance_account
Alipurduar,43891.0,58673.0,32020.0,59648.0,20.97,27628.0,5670.0
Bankura,1025096.0,1128251.0,1233669.0,1444688.0,438.21,211019.0,216138.0
Birbhum,1021433.0,854040.0,1050902.0,1414616.0,280.66,363714.0,247711.0
Dakshin Dinajpur,507667.0,589529.0,663568.0,747364.0,140.38,83796.0,129509.0
Jalpaiguri,1007977.0,955807.0,727952.0,1369429.0,336.7,641477.0,205957.0
Kolkata,563139.0,721182.0,15331.0,815875.0,1027.19,800544.0,107537.0
Malda,1222629.0,1345338.0,1658393.0,1784024.0,451.5,125631.0,284926.0
Murshidabad,1733728.0,1672430.0,1615837.0,2523487.0,682.95,907650.0,371144.0
Nadia,1262038.0,1507950.0,1202700.0,1970794.0,625.39,768094.0,275878.0
Paschim Medinipur,1400104.0,1394092.0,1505657.0,1852625.0,681.99,346968.0,199034.0
Purba Bardhaman,1342300.0,1224945.0,1213542.0,1826593.0,746.44,613051.0,272914.0
Purba Medinipur,1160815.0,1253812.0,1375997.0,1636470.0,559.54,260473.0,168656.0
Uttar Dinajpur,1035813.0,1259291.0,1310315.0,1655510.0,239.51,345195.0,368610.0
