district,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_persons_participated_in_literacy_camps_during_the_quarter_312,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_184,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_52,sl_no_1
Bankura,3.0,174.0,78.0,64.0,8.0
Birbhum,,,,0.0,14.0
Cooch Behar,8.0,621.0,412.0,84.0,36.0
Dakshin Dinajpur,5.0,176.0,61.0,78.0,6.0
Darjeeling,5.0,418.0,274.0,28.0,22.0
Hooghly,5.0,236.0,108.0,68.0,12.0
Howrah,6.0,468.0,202.0,132.0,10.0
Jalpaiguri,18.0,1844.0,1418.0,341.0,20.0
Malda,4.0,84.0,61.0,14.0,31.0
Murshidabad,10.0,302.0,204.0,70.0,39.0
Nadia,5.0,188.0,81.0,51.0,9.0
Purba Bardhaman,4.0,521.0,289.0,146.0,13.0
Purulia,,,,,24.0
Uttar Dinajpur,6.0,248.0,156.0,32.0,4.0
