district,cd_ratio_as_on_june_2017,cd_ratio_september_2017_amount_in_rs_crore
Alipurduar,40.0,4168.52
Bankura,39.0,9532.33
Birbhum,36.0,11449.79
Cooch Behar,62.0,5886.28
Dakshin Dinajpur,52.0,3086.57
Darjeeling,42.0,15504.8
Hooghly,30.0,35277.68
Howrah,35.0,26094.17
Jalpaiguri,42.0,6845.45
Kolkata,89.0,282693.12
Malda,51.0,8200.41
Murshidabad,47.0,11543.37
Nadia,44.0,19990.75
Paschim Medinipur,40.0,17620.88
Purba Bardhaman,41.0,54933.35
Purba Medinipur,42.0,19268.88
Purulia,41.0,7139.26
Uttar Dinajpur,56.0,4587.25
