district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_no_of_a_cs
Alipurduar,99.91,459.0,102.84,31721.0,8.0,32188.0
Bankura,133.84,2040.0,138.75,32659.0,298.0,34997.0
Birbhum,277.47,3403.0,280.93,82804.0,321.0,86528.0
Cooch Behar,353.89,2751.0,359.8,114201.0,207.0,117159.0
Dakshin Dinajpur,115.14,981.0,118.37,36603.0,116.0,37700.0
Howrah,444.15,3365.0,451.77,127153.0,587.0,131105.0
Jalpaiguri,323.2,3112.0,333.85,109669.0,370.0,113151.0
Kalimpong,0.36,0.0,0.36,84.0,0.0,84.0
Kolkata,622.21,5960.0,637.13,114143.0,2867.0,122970.0
Malda,260.85,2578.0,265.24,74048.0,316.0,76942.0
Murshidabad,623.4,3231.0,635.72,213645.0,432.0,217308.0
Nadia,421.22,2843.0,430.83,132188.0,508.0,135539.0
North 24 Parganas,708.44,6087.0,722.45,192763.0,1275.0,200125.0
Paschim Medinipur,293.53,5453.0,305.17,54121.0,731.0,60305.0
Purba Bardhaman,529.68,5622.0,542.71,138230.0,1211.0,145063.0
Purba Medinipur,262.6,3934.0,273.55,49770.0,609.0,54313.0
South 24 Parganas,501.68,4232.0,510.37,146668.0,529.0,151429.0
Uttar Dinajpur,211.68,1611.0,216.63,58570.0,181.0,60362.0
