district,amount_rs_in_lakhs,disbursement_no_of_cases,no_of_cases_sponsored,pending_with_bank_for_disbursement_no_of_cases,sanction_ed,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_released_no_of_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs
Alipurduar,225.03,4003.0,11009.0,247.0,4684.0,3179.37,4301.0,12786.37
Bankura,398.72,13159.0,34804.0,558.0,16928.0,9891.17,14475.0,38901.82
Birbhum,1022.57,15814.0,41366.0,1777.0,21841.0,11826.17,18491.0,46540.95
Cooch Behar,409.84,11714.0,30114.0,764.0,14325.0,7188.27,12664.0,27345.15
Dakshin Dinajpur,55.82,10361.0,21563.0,91.0,11971.0,5238.55,11202.0,25561.54
Darjeeling,79.36,2752.0,9900.0,70.0,4017.0,1896.09,3102.0,7409.99
Hooghly,143.97,16120.0,45536.0,146.0,18582.0,12070.74,16810.0,44412.44
Howrah,293.94,12746.0,36658.0,471.0,13443.0,5827.03,13740.0,23678.96
Jalpaiguri,216.14,10150.0,23213.0,267.0,13631.0,9148.18,11215.0,41203.24
Jhargram,0.0,0.0,43.0,0.0,0.0,0.0,180.0,0.0
Kalimpong,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
Kolkata,156.91,8578.0,22731.0,197.0,9931.0,4794.98,10172.0,18980.75
Malda,140.11,13964.0,58502.0,126.0,15325.0,8473.41,14722.0,39444.3
Murshidabad,348.71,19083.0,42648.0,527.0,22436.0,12714.14,20655.0,58707.01
Nadia,576.99,14013.0,38997.0,806.0,16627.0,8544.2,15470.0,34725.96
Paschim Bardhaman,166.39,126.0,248.0,185.0,127.0,116.15,22.0,394.25
Paschim Medinipur,110.95,15581.0,56259.0,102.0,20960.0,15158.24,16154.0,65023.93
Purba Bardhaman,791.85,20510.0,56840.0,886.0,24533.0,16112.09,22824.0,66274.95
Purba Medinipur,124.54,16584.0,30714.0,168.0,18472.0,10969.46,17413.0,38730.57
Purulia,372.04,8029.0,23706.0,539.0,10362.0,5687.23,8843.0,25520.71
Uttar Dinajpur,215.31,9613.0,23272.0,273.0,11558.0,7332.22,10130.0,28692.53
