district,cumulative_amount_of_loan_disbursed_under_jlg_as_on_30_09_2017,cumulative_no_of_j_l_g_s_c_r_e_d_i_t_l_i_n_ked_as_on_30_09_2017,loan_disbursed_under_jlg_during_f_y_2_0_1_7_1_8_april_to_september,no_of_jlgs_credit_linked_during_f_y_2017_18_april_to_september,no_of_jlgs_target_2017_18
Bankura,771.84,954.0,70.56,89.0,7200.0
Birbhum,1871.16,1591.0,83.22,90.0,6000.0
Cooch Behar,4030.98,4717.0,68.19,174.0,2400.0
Dakshin Dinajpur,918.42,841.0,71.56,62.0,1600.0
Darjeeling,866.47,632.0,58.26,71.0,800.0
Hooghly,640.73,3926.0,100.84,301.0,4000.0
Howrah,1340.62,1904.0,150.49,160.0,1600.0
Jalpaiguri,3071.42,3230.0,50.26,84.0,2000.0
Malda,580.67,1338.0,5.28,153.0,5600.0
Murshidabad,7060.48,13487.0,228.57,417.0,7200.0
Nadia,5974.16,5924.0,216.95,404.0,2000.0
North 24 Parganas,12411.62,7451.0,276.15,615.0,3600.0
Purba Bardhaman,4674.52,3662.0,60.85,81.0,8800.0
Purba Medinipur,3988.21,5072.0,350.04,582.0,6400.0
Purulia,2106.28,2194.0,20.02,94.0,4000.0
South 24 Parganas,8441.61,8805.0,58.92,282.0,4000.0
Uttar Dinajpur,3855.07,2607.0,25.61,52.0,3200.0
