district,achievement_as_on_september_2017_no,amt,amt_in_lac,average_rs_lac,of_achievement_no,target_for_2017_18_no
Alipurduar,3493.0,34.82,5452.63,1.56,38.15,9157.0
Bankura,7034.0,21.87,10000.35,1.42,33.23,21166.0
Birbhum,8571.0,29.79,16301.08,1.9,37.28,22991.0
Cooch Behar,6290.0,21.16,9340.89,1.49,25.36,24802.0
Dakshin Dinajpur,1965.0,13.19,3070.2,1.56,18.91,10394.0
Darjeeling,48.0,2.86,74.05,1.53,3.22,1501.0
Hooghly,8520.0,37.17,13540.76,1.59,41.39,20584.0
Howrah,4204.0,26.09,9035.39,2.15,29.74,14137.0
Jalpaiguri,5986.0,30.97,9221.88,1.54,38.19,15671.0
Jhargram,2347.0,23.34,3304.42,1.41,31.86,7368.0
Kalimpong,27.0,3.25,51.02,1.86,3.06,898.0
Malda,6077.0,18.68,8901.34,1.46,26.27,23135.0
Murshidabad,15493.0,38.88,24501.52,1.58,49.16,31512.0
Nadia,9345.0,23.54,9439.58,1.01,39.85,23450.0
North 24 Parganas,6838.0,23.81,11197.39,1.64,28.51,23990.0
Paschim Bardhaman,354.0,5.91,565.91,1.6,8.53,4157.0
Paschim Medinipur,9772.0,30.03,13019.12,1.33,43.26,22588.0
Purba Bardhaman,5016.0,17.3,9754.94,1.94,20.24,24779.0
Purba Medinipur,13632.0,30.9,23698.93,1.74,39.1,34862.0
Purulia,3338.0,14.88,4501.07,1.35,19.75,16901.0
South 24 Parganas,9200.0,30.31,13350.32,1.45,36.56,25166.0
Uttar Dinajpur,2255.0,11.65,3484.23,1.55,13.65,16517.0
