district,disbursement_made_by_nodal_branches_no_of,forwarded_to_bank_no_of_prj,margin_money_claimed_no_of,mm,mm_involve,row,sanctioned_by_bank_no_of
Alipurduar,15.0,199.0,19.0,41.69,26.62,1.0,10.0
Bankura,55.0,415.0,74.0,122.42,212.1,2.0,83.0
Birbhum,17.0,202.0,18.0,31.83,114.04,4.0,56.0
Cooch Behar,14.0,638.0,16.0,29.39,38.68,5.0,18.0
Dakshin Dinajpur,27.0,133.0,21.0,76.4,150.48,19.0,41.0
Darjeeling,4.0,145.0,4.0,10.17,13.94,6.0,3.0
Hooghly,9.0,257.0,8.0,28.87,26.12,7.0,16.0
Howrah,7.0,176.0,9.0,17.01,33.14,8.0,15.0
Jalpaiguri,1.0,324.0,1.0,1.05,9.06,9.0,2.0
Kolkata,2.0,42.0,1.0,8.03,16.74,10.0,3.0
Malda,4.0,102.0,4.0,4.9,19.19,11.0,17.0
Murshidabad,14.0,885.0,16.0,22.63,83.54,13.0,30.0
Nadia,28.0,222.0,30.0,122.5,111.75,14.0,29.0
Paschim Medinipur,3.0,274.0,3.0,12.16,54.78,17.0,32.0
Purulia,3.0,72.0,3.0,16.27,24.35,18.0,10.0
Uttar Dinajpur,7.0,49.0,6.0,33.29,8.05,15.0,1.0
