district,sep_g,sep_i,shg_credit_linkage
Alipurduar,4.0,24.0,200.0
Bankura,4.0,87.0,600.0
Birbhum,24.0,209.0,573.0
Cooch Behar,24.0,156.0,500.0
Dakshin Dinajpur,15.0,112.0,450.0
Darjeeling,24.0,233.0,500.0
Hooghly,52.0,473.0,1427.0
Howrah,8.0,262.0,200.0
Jalpaiguri,12.0,124.0,350.0
Jhargram,2.0,30.0,200.0
Kolkata,10.0,100.0,400.0
Malda,8.0,147.0,200.0
Murshidabad,24.0,186.0,800.0
Nadia,32.0,412.0,1500.0
North 24 Parganas,131.0,974.0,3900.0
Paschim Bardhaman,40.0,518.0,450.0
Paschim Medinipur,32.0,303.0,1000.0
Purba Bardhaman,,50.0,750.0
Purba Medinipur,20.0,157.0,700.0
Purulia,16.0,99.0,250.0
South 24 Parganas,24.0,218.0,600.0
Uttar Dinajpur,22.0,126.0,450.0
