district,no_of_candidates_trained,no_of_training_cond,of_settlement,own,self_employed_bank,total_settled
Bankura,470.0,20.0,15.0,,70.0,70.0
Birbhum,340.0,14.0,21.0,22.0,49.0,71.0
Cooch Behar,254.0,15.0,20.0,23.0,27.0,50.0
Darjeeling,147.0,8.0,5.0,,7.0,7.0
Hooghly,463.0,19.0,55.0,2.0,250.0,252.0
Howrah,692.0,25.0,62.0,308.0,121.0,429.0
Jalpaiguri,201.0,8.0,,,,
Malda,379.0,13.0,12.0,20.0,22.0,42.0
Nadia,386.0,14.0,48.0,101.0,81.0,182.0
North 24 Parganas,381.0,17.0,30.0,,114.0,114.0
Purba Bardhaman,220.0,11.0,15.0,,31.0,31.0
Purba Medinipur,369.0,14.0,14.0,32.0,17.0,49.0
Purulia,253.0,10.0,11.0,3.0,23.0,26.0
South 24 Parganas,672.0,23.0,8.0,30.0,22.0,52.0
Uttar Dinajpur,226.0,10.0,32.0,63.0,8.0,71.0
