district,Dec-19,None,Mar-20,None,Jun-20,None
East Garo Hills,12.03.2020,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
East Jaiñtia Hills,20.02.2020,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
East Khasi Hills,Not held,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
North Garo Hills,06.03.2020,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
Ri Bhoi,21.02.2020,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
South Garo Hills,Not held,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
South West Garo Hills,Not held,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
South West Khasi Hills,not held,Not yet fixed,not held,Not yet fixed,Not yet fixed,Not yet fixed
West Garo Hills,Not held,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
West Jaiñtia Hills,22.02.2020,Not yet fixed,Not held,Not yet fixed,Not yet fixed,Not yet fixed
West Khasi Hills,21.02.2020,Not yet fixed,07.07.2020,Not yet fixed,Not yet fixed,Not yet fixed
