district,Sr No,Name of Sch. Comm. Bank selected for allottment of villages <2000 population,No. of allotted village,"No. of villages where banking outlet opened upto the end of the quarter June, 2020",None,None,None,None,None,None,None
East Garo Hills,B3,UBI,15,1,15,15,15,15,15,15,15
East Jaintia Hills,E8,UBI,13,13,13,13,13,13,13,13,13
South Garo Hills,C3,IPPB,111,20,20,20,20,20,20,20,20
West Garo Hills,A8,IPPB,10,0,10,10,10,10,10,10,10
West Jaintia Hills,F7,MRB,117,43,117,117,117,117,117,117,117
West Khasi Hills,D5,UBI,73,34,73,73,73,73,73,73,73
