district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
East Garo Hills,7,5.98,379,501.74,178,78.05,3335,4246.49
East Jaintia Hills,6,11.83,146,41.34,93,255.95,3237,8244.85
East Khasi Hills,222,447.7,4008,66273.95,2374,4774.51,57496,263779.64
North Garo Hills,10,13.15,448,637.98,99,92.58,6347,3986.12
South Garo Hills,1,5,18,29.68,25,64.76,3042,3233.34
South West Khasi Hills,1,0.45,14,29.4,116,95.52,2567,3346.88
West Garo Hills,39,50.71,646,1827.52,408,368.56,14121,18765.4
West Jaintia Hills,28,90.79,912,2510.43,321,1036.48,9844,31287.64
West Khasi Hills,9,11.12,15,32.6,411,558.13,16005,16345.4
