district,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
EAST JAIñTIA HILLS,69771,2192,2525
East Garo Hills,64342,2259,2817
East Khasi Hills,750803,104662,132681
North Garo Hills,87688,210,501
Ri Bhoi,183594,11142,16150
SOUTH WEST GARO HILLSl,98818,1668,1981
South Garo Hills,39683,987,737
South West Khasi Hills,57263,1810,2012
WEST JAIñTIA HILLS,118860,3364,5950
West Garo Hills,334619,9547,9204
West Khasi Hills,195854,7340,4188
