district,Crop Loan,None,Forestry and wasteland Dev,None,Water Resource,None,Farm mechanization,None,Plantation & horticulture,None
EAST GARO HILLS Total,120,0,0,0,0,0,0,0,0,0
EAST JAINTIA HILLS Total,6,6,0,6,0,6,0,6,6,6
EAST KHASI HILLS Total,1284,1.6,0,1.6,0,1.6,0,1.6,2,1.6
NORTH GARO HILLS Total,62,0,0,0,0,0,0,0,0,0
RI BHOI Total,576,0,0,0,0,0,0,0,0,0
SOUTH GARO HILLS Total,2,0,0,0,0,0,0,0,0,0
SOUTH WEST GARO HILLS Total,245,0,0,0,0,0,0,0,0,0
SOUTH WEST KHASI HILLS Total,72,0,0,0,0,0,0,0,0,0
WEST GARO HILLS Total,175,0,2,0,0,0,0,0,0,0
WEST JAINTIA HILLS Total,126,0,0,0,0,0,0,0,0,0
WEST KHASI HILLS Total,225,0,0,0,0,0,0,0,0,0
