district,Disb No,Disb Amt,OS No,OS Amt
EAST GARO HILLS Total,0,0,11,16.4
EAST JAINTIA HILLS Total,9,3.9,441,91.58
EAST KHASI HILLS Total,123,60.31,3661,1990.97
NORTH GARO HILLS Total,0,0,91,118.57
RI BHOI Total,107,42.8,2874,875.48
SOUTH GARO HILLS Total,0,0,25,10.11
SOUTH WEST GARO HILLS Total,0,0,139,61.27
SOUTH WEST KHASI HILLS Total,0,0,9,4.55
WEST GARO HILLS Total,25,7.5,1714,482.17
WEST JAINTIA HILLS Total,0,0,1108,205.54
WEST KHASI HILLS Total,46,15.68,955,339.25
