district,Savings Linked No,Savings Linked Amount,Credit Linked No,Credit Linked Amount,CY Savings Linked No,CY Savings Linked Amount,CY Credit Linked No,CY Credit Linked Amount
EAST GARO HILLS Total,341,41.91,1,1,337,41.91,7,23.24
EAST JAINTIA HILLS Total,179,2.69,6,6,179,2.69,7,6.45
EAST KHASI HILLS Total,265,45.73,7,13.02,282,59.05,17,49.84
NORTH GARO HILLS Total,582,50.69,0,0,582,50.69,3,9.07
RI BHOI Total,422,16.12,67,79.35,385,13.67,68,93.66
SOUTH GARO HILLS Total,489,62.38,2,7,489,62.38,3,7.07
SOUTH WEST GARO HILLS Total,335,23.78,5,5,335,23.78,7,6.44
SOUTH WEST KHASI HILLS Total,225,8.94,6,9.2,225,8.94,6,9.2
WEST GARO HILLS Total,959,105.68,23,25.8,959,105.68,27,57.07
WEST JAINTIA HILLS Total,143,1.94,29,79,144,2.49,31,80.54
WEST KHASI HILLS Total,221,16.49,22,31,221,16.49,22,31
