district,of Amt student which OS girl,OS amt,OS girl of No student which,OS No,of Disb which student Amt girl,Amt Disb.,of girl Disb No student which,ber Num- Disb.,of Amt which student Sanctioned girl,Amt tioned Sanc-,No girl of which Sanctioned student,No Sanctioned
East Garo Hills,20.95,107.5,10,36,0,8.34,0,2,0,0,0,0
East Jaintia Hills,47.7,47.56,23,29,0,0,0,0,0,0,0,0
East Khasi Hills,1553.53,4931.12,582,1103,245.47,395.87,32,61,120,716.61,21,55
North Garo Hills,18.2,40.75,3,9,0,0,0,0,0,0,0,0
Ri Bhoi,539.17,821.18,201,276,43.8,55.54,14,17,0.5,0.5,1,1
South Garo Hills,10.4,22.8,3,5,6.16,6.16,1,1,0,0,0,0
South West Garo Hills,1.45,1.9,1,2,0,0,0,0,0,0,0,0
South West Khasi Hills,43.03,58.73,21,30,0,0,0,0,0,0,0,1
West Jaintia Hills,322.31,537.66,128,189,3.64,9.85,3,6,5.71,5.71,2,3
West Khasi Hills,334.12,532.64,154,230,6.81,7.83,3,4,1.02,2.04,1,4
