district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY
EAST JAIñTIA HILLS,4227,10270,2585,11200,17460,8778,454
East Garo Hills,1972,37859,1058,5814,55569,3605,666
East Khasi Hills,42319,251592,31933,81724,340993,64379,6495
North Garo Hills,4022,48604,1269,11169,75173,4965,2073
Ri Bhoi,15006,60676,9758,36399,89642,26610,1246
SOUTH WEST GARO HILLSl,4921,50295,3367,11516,79191,6887,580
South Garo Hills,1423,18449,935,3240,27169,2219,349
South West Khasi Hills,3668,20060,2722,3453,27409,2808,272
WEST JAIñTIA HILLS,9356,64423,6166,23960,87855,19232,1026
West Garo Hills,11984,117338,6441,29720,188219,14623,1690
West Khasi Hills,5806,28185,4029,8405,37048,5668,518
