district,as_on_30th_june_2024_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances,col_13
Bokaro,45379,163410.86,1445,68826.94,199,40673.03,110,185.59,47133,273096.42,30.97,
Chatra,8241,27214.01,126,4313.66,24,348.58,1,1.31,8392,31877.56,21.77,
Deoghar,20800,77476.99,643,29178.40,109,17021.56,31,36.04,21583,123713.00,30.41,
Dhanbad,64745,246406.69,2466,156461.78,320,50779.79,119,2599.53,67650,456247.78,30.02,
Dumka,13731,33784.21,364,16313.94,77,5247.58,17,147.12,14189,55492.86,25.36,
East Singhbhum,66816,346771.85,5617,236441.81,1947,155841.66,91,327.33,74471,739382.64,32.89,
Garhwa,7785,20969.97,143,3266.40,5,190.06,6,31.53,7939,24457.96,14.18,
Giridih,35138,91503.43,478,31028.49,78,4783.19,9,36.93,35703,127352.03,27.38,
Godda,11933,28563.15,281,6263.18,14,1091.71,60,43.65,12288,35961.69,17.99,
Gumla,7448,22491.37,143,4425.01,11,266.17,4,0.06,7606,27182.62,20.66,
Hazaribagh,34826,148301.11,1131,36846.51,132,9966.62,12,23.40,36101,195137.63,31.70,
Jamtara,6459,12983.15,79,2495.43,8,32.27,6,0.24,6552,15511.10,15.82,
Khunti,5596,15109.44,109,2606.15,4,513.46,10,15.41,5719,18244.45,17.72,
Koderma,17829,53715.55,504,11854.60,33,974.59,5,12.93,18371,66557.66,33.73,
Latehar,6732,15800.98,74,2280.88,9,258.27,2,55.92,6817,18396.04,15.76,
Lohardaga,6303,17960.94,170,4269.63,9,480.91,10,29.24,6492,22740.71,22.41,
Pakur,12254,27136.04,226,7405.97,51,1623.73,4,5.26,12535,36170.99,25.99,
Palamu,15493,45773.98,324,11603.95,41,2973.70,14,22.50,15872,60374.14,17.31,
Ramgarh,20960,73429.02,552,30414.12,96,5877.60,13,11.96,21621,109732.70,27.20,
Ranchi,145365,515281.65,4631,280250.61,835,165127.98,137,507.96,150968,961168.21,22.94,
Sahibganj,12451,23098.07,154,3111.85,17,201.21,4,9.84,12626,26420.96,17.70,
Seraikela-Kharsawan,31662,71082.52,890,55165.62,201,33905.60,75,229.51,32828,160383.25,35.41,
Simdega,4984,12816.23,78,989.25,3,8.04,3,0.06,5068,13813.58,21.46,
West Singhbhum,17721,45134.49,541,15644.41,78,3529.87,72,53.96,18412,64362.74,15.07,
