district,pmegp_outstandin_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstandi_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,933,3175.37,354,1032.01,32.50,141756,73750.25,20769,11582.31,15.70,200,3046.93,68,770.83,25.30,22381,45292.73,617,392.65,0.87
Chatra,518,1250.31,203,418.84,33.50,39414,21814.11,4774,3361.40,15.41,59,555.88,14,160.53,28.88,15468,30406.15,608,431.28,1.42
Deoghar,998,2754.59,350,543.12,19.72,54505,39619.73,5629,4836.09,12.21,158,2037.47,22,368.41,18.08,12255,19404.21,1243,1171.92,6.04
Dhanbad,1401,3983.04,540,1341.23,33.67,231347,107324.80,25552,11446.74,10.67,269,3494.93,101,911.39,26.08,17359,33445.75,788,434.94,1.30
Dumka,1179,2322.57,386,592.48,25.51,64697,29979.75,8428,3579.07,11.94,64,1135.42,2,0.12,0.01,12965,23394.00,520,505.03,2.16
East Singhbhum,1295,4866.16,361,915.44,18.81,194302,106688.15,18241,12899.98,12.09,370,4921.76,90,1071.80,21.78,25677,64557.36,938,695.19,1.08
Garhwa,315,878.07,64,108.66,12.38,90387,34652.19,10453,3083.62,8.90,22,169.46,3,3.21,1.89,12517,22112.36,158,126.42,0.57
Giridih,1046,2821.76,312,619.09,21.94,281802,109975.93,19653,9233.47,8.40,101,1528.13,10,87.81,5.75,29278,57555.92,1321,895.24,1.56
Godda,1033,2523.92,254,449.63,17.81,98857,42339.60,10669,4570.64,10.80,55,888.14,8,65.83,7.41,12292,24614.21,361,297.25,1.21
Gumla,757,1974.89,208,447.59,22.66,49879,19848.70,2734,2071.03,10.43,39,471.76,8,60.29,12.78,12706,26379.72,851,639.83,2.43
Hazaribagh,1295,4258.80,433,1145.09,26.89,135049,75777.45,13311,9588.93,12.65,185,1990.89,76,555.86,27.92,25297,55573.99,708,431.20,0.78
Jamtara,523,944.40,130,146.97,15.56,11748,9123.24,1809,1368.14,15.00,25,339.09,,0.03,0.01,7479,11953.10,265,324.51,2.71
Khunti,476,1013.71,138,221.53,21.85,18863,10462.62,1421,1256.04,12.01,22,250.91,1,0.02,0.01,8628,18971.18,213,232.48,1.23
Koderma,622,1550.53,192,420.08,27.09,79690,38884.95,7707,3945.55,10.15,77,649.13,26,134.57,20.73,11012,28667.76,335,300.91,1.05
Latehar,308,574.17,85,113.65,19.79,40645,17187.52,3153,1249.46,7.27,83,925.07,1,0.01,0.00,10515,20721.20,252,149.87,0.72
Lohardaga,669,1622.45,213,628.80,38.76,23286,14520.13,1942,2187.05,15.06,27,229.74,3,9.99,4.35,8779,20435.85,582,710.57,3.48
Pakur,770,1662.81,198,347.78,20.92,122474,41814.44,8265,2459.81,5.88,30,579.16,2,13.87,2.39,11287,23750.74,334,263.78,1.11
Palamu,454,1377.37,172,348.39,25.29,136276,60134.83,10358,6183.25,10.28,104,1195.84,5,46.88,3.92,19577,33980.15,446,466.78,1.37
Ramgarh,573,1966.84,148,367.93,18.71,89266,45275.81,9814,5611.04,12.39,152,1239.87,26,208.60,16.82,11485,27279.81,310,254.61,0.93
Ranchi,1689,5652.00,687,1805.29,31.94,232124,161810.11,22946,20408.43,12.61,587,8232.79,137,1661.34,20.18,34147,86802.57,1364,1773.55,2.04
Sahibganj,742,1839.57,181,325.13,17.67,103567,41437.22,9023,3181.58,7.68,31,424.70,2,0.70,0.16,10776,19595.73,302,195.61,1.00
Simdega,439,1007.39,152,282.25,28.02,11460,7930.67,1204,1265.64,15.96,26,213.63,5,29.51,13.82,8826,16912.89,355,281.84,1.67
West Singhbhum,598,1763.52,183,392.53,22.26,62929,36672.30,6291,4018.26,10.96,48,1520.25,6,23.70,1.56,18281,49025.43,355,221.33,0.45
