district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,5,5.62,94,107.20,51,45
Chatra,5,1.36,25,30.96,19,18
Deoghar,10,9.71,51,39.27,10,10
Dhanbad,2,3.11,104,62.59,57,47
Dumka,5,8.16,59,40.00,18,17
East Singhbhum,2,9.69,105,64.42,33,25
Garhwa,,0.00,,0.00,,
Giridih,6,7.55,105,52.24,92,81
Godda,6,11.99,48,70.74,22,17
Gumla,2,2.07,18,10.63,10,9
Hazaribagh,39,54.82,218,212.48,110,103
Jamtara,2,2.70,8,5.48,2,2
Khunti,1,2.15,29,21.43,13,13
Koderma,6,6.73,56,45.28,24,23
Latehar,1,1.97,65,119.05,6,6
Lohardaga,2,8.92,64,65.86,50,44
Pakur,17,39.64,159,227.86,4,3
Palamu,7,8.48,58,87.56,3,3
Ramgarh,3,8.24,71,42.04,61,51
Ranchi,4,6.35,79,43.97,51,46
Sahibganj,19,29.33,124,137.79,60,60
Seraikela-Kharsawan,,5.12,224,168.99,55,51
Simdega,5,4.97,61,40.26,26,16
West Singhbhum,4,6.52,104,71.26,4,3
