district,social_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,renewable_energy_target_no,amt,achv_no,amt,achv_pct_amt,others_target_no,amt,achv_no,amt,achv_pct_amt,total_priority_sector_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,22,20,,,0.00,283,265,,,0.00,27585,15549,3896.00,2402,15.45,111011,400271,25976.00,151752,37.91
Chatra,,,,,,141,159,,,0.00,4488,2479,609.00,361,14.57,51596,72076,12660.00,21455,29.77
Deoghar,75,154,2.00,14,9.07,235,236,,,0.00,20623,10344,3921.00,2094,20.24,112753,259713,22388.00,88151,33.94
Dhanbad,86,443,3.00,12,2.69,307,269,,,0.00,52343,29591,9228.00,11696,39.53,167464,664256,36492.00,269098,40.51
Dumka,54,22,1.00,1,3.25,191,193,,,0.00,16186,8108,3500.00,1683,20.76,84823,134838,18309.00,39366,29.20
East Singhbhum,99,546,2.00,0,0.03,280,274,,,0.00,56078,30852,9101.00,5035,16.32,187589,1061889,40575.00,454127,42.77
Garhwa,172,82,1.00,0,0.08,218,246,,,0.00,11115,5967,2056.00,1294,21.69,85539,106126,14222.00,23469,22.11
Giridih,11,7,3.00,2,25.72,293,294,,,0.00,31159,17547,5281.00,3031,17.27,142982,275815,32335.00,86075,31.21
Godda,11,8,,,0.00,169,170,,,0.00,8345,5071,1722.00,1054,20.79,73076,102094,19164.00,28833,28.24
Gumla,22,4,1.00,0,3.48,160,188,,,0.00,6105,3193,1005.00,461,14.44,37843,67556,7221.00,18702,27.68
Hazaribagh,292,355,2.00,1,0.20,275,281,,,0.00,19083,11746,3011.00,1857,15.81,119336,289367,29046.00,97500,33.69
Jamtara,,,,,,108,115,,,0.00,3673,1453,663.00,286,19.71,42023,47599,9374.00,12797,26.89
Khunti,11,16,1.00,0,0.25,106,108,,,0.00,4705,2255,632.00,307,13.62,31723,43006,6262.00,11972,27.84
Koderma,11,4,,,0.00,113,115,,,0.00,9635,5525,1434.00,876,15.86,54711,110467,13322.00,36992,33.49
Latehar,,,1.00,0,,128,136,,,0.00,6391,2954,666.00,342,11.59,37135,52275,7267.00,13654,26.12
Lohardaga,,,,,,102,108,,,0.00,7254,3813,1182.00,686,17.99,29404,54289,6426.00,16851,31.04
Pakur,97,50,7.00,2,4.01,111,115,,,0.00,23916,12754,4646.00,2391,18.75,64385,77896,16250.00,25820,33.15
Palamu,22,234,,,0.00,239,271,1,1.74,0.64,22576,14617,3573.00,2331,15.95,136272,187474,21496.00,44708,23.85
Ramgarh,43,356,1.00,2,0.60,191,181,1,2.43,1.34,14232,8555,2021.00,1156,13.51,61681,167574,15144.00,59432,35.47
Ranchi,17667,2683,122.00,52,1.93,527,491,,,0.00,47851,38157,7372.00,9239,24.21,836233,1697795,174950.00,632020,37.23
Sahibganj,,,,,,154,166,,,0.00,17181,10244,3160.00,1855,18.11,67612,76104,14576.00,17159,22.55
Seraikela-Kharsawan,11,5,,,0.00,193,196,,,0.00,11149,8313,1886.00,1353,16.27,125921,273423,25653.00,111223,40.68
Simdega,11,3,,,0.00,119,138,,,0.00,4216,1855,761.00,332,17.88,22685,34314,4964.00,9897,28.84
West Singhbhum,22,9,,,0.00,266,290,,,0.00,17667,9057,2547.00,1357,14.99,71625,113782,12796.00,31836,27.98
