district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,95,327.41,10,63.06,19.26,9619,24860.91,2637,4776.73,19.21,54582,67665.36,14121,16392.70,24.23
Chatra,156,121.19,84,43.55,35.93,7234,12845.16,2553,2837.62,22.09,41894,39354.90,10087,8907.59,22.63
Deoghar,89,1437.75,13,333.35,23.19,2347,32755.54,293,5449.88,16.64,73644,87362.30,13792,15993.37,18.31
Dhanbad,230,764.84,24,122.56,16.02,7667,32484.21,2316,8695.51,26.77,63500,86470.37,15462,22016.16,25.46
Dumka,141,137.78,10,9.80,7.11,1372,4628.56,122,1753.32,37.88,58440,46112.60,12208,10939.91,23.72
East Singhbhum,89,650.90,7,31.34,4.81,13278,43222.25,4763,11766.36,27.22,81466,109284.66,17483,27403.44,25.08
Garhwa,114,83.53,44,20.25,24.24,737,1635.49,139,498.01,30.45,68121,69100.05,10731,11601.83,16.79
Giridih,202,229.38,17,10.22,4.45,9643,36048.28,2772,6788.42,18.83,85987,95726.98,20231,19678.81,20.56
Godda,18,23.16,1,0.12,0.50,2275,5588.89,321,409.66,7.33,54207,47611.45,15018,9938.67,20.87
Gumla,25,42.49,,,0.00,4393,11557.70,1515,2545.04,22.02,27168,33846.54,4861,5535.25,16.35
Hazaribagh,145,279.78,19,66.31,23.70,9040,34414.92,2896,9438.33,27.43,77401,96845.89,19106,25285.15,26.11
Jamtara,28,24.90,2,2.05,8.23,2316,4077.97,342,698.13,17.12,33145,27771.01,7265,5704.85,20.54
Khunti,17,33.47,2,1.86,5.56,2391,5495.80,740,1143.86,20.81,23413,20259.44,4537,4501.75,22.22
Koderma,15,26.77,5,22.05,82.34,6461,17337.18,1707,3684.86,21.25,32779,37692.68,8074,8445.02,22.40
Latehar,387,152.61,57,27.15,17.79,1682,3207.11,164,203.75,6.35,25364,27240.22,4789,4084.85,15.00
Lohardaga,44,44.31,6,4.50,10.16,3611,11198.78,1290,2982.52,26.63,18057,24425.59,3893,5541.42,22.69
Pakur,356,303.58,63,43.49,14.33,3255,4015.68,715,696.01,17.33,29848,26027.08,9419,5972.57,22.95
Palamu,1484,838.02,168,80.55,9.61,3109,5876.90,366,736.87,12.54,102529,98692.43,15013,14263.47,14.45
Ramgarh,48,120.56,4,33.60,27.87,5223,12324.64,1747,2539.48,20.60,35439,34677.51,9103,8712.89,25.13
Ranchi,364,3997.92,78,319.10,7.98,9976,113951.51,2879,43515.84,38.19,669577,442151.19,144943,118706.81,26.85
Sahibganj,45,158.23,14,8.55,5.40,1933,3089.02,285,306.33,9.92,40812,39181.45,9373,7240.53,18.48
Seraikela-Kharsawan,35,138.78,1,1.03,0.74,5235,14403.87,1961,4013.98,27.87,92397,64288.96,19459,14501.40,22.56
Simdega,9,21.42,,,0.00,3086,6222.14,1134,1585.23,25.48,15452,17592.66,3262,3310.51,18.82
West Singhbhum,31,41.02,,,0.00,4535,8757.11,1461,2279.48,26.03,42982,40618.20,7562,8669.31,21.34
