district,target_for_2024_25_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,98,268.52,61,207.67,14,67.36,42,153.55,15,8.22,3,10.20,41,179.97,42,153.55
Chatra,42,115.08,50,143.22,7,47.41,34,63.77,1,3.50,3,5.95,38,103.78,34,63.77
Deoghar,60,164.40,54,165.39,6,19.54,32,97.93,6,5.32,4,20.50,45,131.84,32,97.93
Dhanbad,97,265.78,76,155.76,28,49.03,68,84.83,16,7.36,17,54.41,38,87.09,65,83.02
Dumka,73,200.02,41,91.46,5,8.33,48,79.20,2,3.63,3,3.85,33,80.63,44,77.08
Garhwa,43,117.82,30,118.38,13,49.68,20,66.63,,,1,1.05,18,70.79,20,66.63
Giridih,70,191.80,127,312.30,16,55.55,52,114.08,6,11.96,10,22.62,97,241.95,52,114.08
Godda,70,191.80,41,80.00,14,25.70,38,69.95,9,10.00,7,11.95,24,50.61,37,69.27
Gumla,45,123.30,50,189.59,11,36.04,38,111.36,,,7,21.35,34,148.61,35,106.28
Hazaribagh,103,282.22,140,408.96,20,81.06,66,178.37,11,11.40,23,82.88,92,253.11,66,178.37
Jamtara,42,115.08,34,104.45,1,1.25,22,35.37,,,5,13.66,29,90.79,22,35.37
Khunti,48,131.52,26,86.40,7,8.64,35,66.14,2,1.45,7,24.15,12,52.10,32,63.68
Koderma,48,131.52,61,127.82,2,5.05,23,48.10,2,0.74,6,12.73,50,97.26,23,48.10
Latehar,35,95.90,21,43.45,4,7.42,21,59.31,3,3.90,2,1.38,16,35.38,21,59.31
Lohardaga,44,120.56,65,189.22,8,34.63,26,66.79,1,1.00,17,52.40,37,106.70,26,66.79
Pakur,48,131.52,27,63.91,2,6.85,15,24.86,5,2.79,11,29.31,11,25.22,14,24.16
Palamu,57,156.18,23,73.88,6,23.03,26,43.95,3,3.85,2,6.00,17,62.92,25,43.77
Ramgarh,72,197.28,33,110.12,9,37.21,35,118.84,,,5,10.72,23,73.55,35,118.84
Ranchi,99,271.26,156,532.87,23,74.73,96,236.90,6,21.76,48,139.29,79,316.61,95,236.43
Sahibganj,70,191.80,63,92.05,4,2.08,51,76.81,9,11.77,26,28.79,28,54.66,50,75.90
Simdega,42,115.08,32,114.48,5,25.89,10,39.17,,,2,14.95,25,79.04,10,39.17
