district,as_on_30th_june_2024_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt,col_21
Bokaro,75927,50737.98,16163,12645.99,10194,28956.43,11079,14682.02,2418,4.09,385,33.65,49005,16574.30,5609,5204.04,125209,90792.42,10.30,
Chatra,67611,45573.43,15181,10907.24,8024,26607.22,165880,5218.61,448,5.38,15,7.32,18019,7947.61,695,1243.93,79418,56632.03,38.67,
Deoghar,105077,61247.90,24743,17916.30,8377,44812.73,262978,9398.64,727,5.94,47,15.66,28656,12561.37,3193,1290.27,131855,78870.17,19.39,
Dhanbad,90761,53483.10,21243,14677.34,7932,22142.88,1160970,29400.94,4191,9.33,422,35.53,67188,27504.44,11899,11167.62,172686,117673.23,7.74,
Dumka,88692,46959.43,28349,22186.80,9280,41788.24,459666,8027.63,850,0.82,34,3.18,42600,16595.40,1815,2531.20,112301,63248.95,28.90,
East Singhbhum,105979,71577.33,49933,32604.28,10485,49000.01,3792941,36258.43,1805,9.93,715,59.52,79652,36450.81,7101,12049.45,187902,162851.06,7.24,
Garhwa,98469,74753.44,37084,28955.82,10643,60805.49,13585,9574.11,206,0.25,55,3.79,43806,19873.10,773,968.63,114355,85375.76,49.50,
Giridih,138224,80919.13,28929,17173.18,14535,39809.95,25566,17466.80,831,2.24,121,16.65,79334,31018.94,2487,2468.21,189365,117677.58,25.30,
Godda,82432,53863.21,23836,19202.38,7424,35385.64,12563,9486.40,798,1.41,50,4.43,35791,15826.39,2232,3246.71,103602,70236.99,35.14,
Gumla,59262,34138.79,25335,14714.17,5692,22273.92,10977,4977.35,241,2.94,65,4.53,12300,4821.81,1132,982.31,70823,48795.98,37.08,
Hazaribagh,124304,85299.81,25331,19802.39,12648,42575.61,20166,21681.65,1827,8.27,107,39.22,47533,23470.41,3746,4963.52,159885,128272.98,20.84,
Jamtara,45632,28930.19,17020,11591.28,4922,26193.57,10005,5622.94,706,1.79,43,5.14,11052,5213.98,561,515.05,60181,39483.50,40.28,
Khunti,40463,25461.52,20678,11905.05,3821,11800.81,4275,3262.80,753,1.13,27,15.44,16452,6002.60,5322,2090.11,46985,31129.91,30.23,
Koderma,53583,33272.99,10073,6281.94,4750,12759.67,8069,5907.95,518,7.40,20,12.26,22646,8741.52,884,1176.83,70027,48566.11,24.61,
Latehar,34661,29967.80,15448,13846.04,6185,29988.76,6262,4943.46,264,3.51,17,2.05,11181,5198.34,572,1084.92,46404,41036.65,35.16,
Lohardaga,37808,25395.75,14939,9274.49,3740,14024.55,9526,6049.78,283,0.47,56,15.82,11105,4684.48,616,684.20,48550,37034.07,36.49,
Pakur,51288,38354.43,17685,14183.21,5916,21596.00,15199,14699.95,372,1.64,13,5.90,38914,13897.47,2300,4884.34,72381,52553.23,37.76,
Palamu,138592,105565.89,55644,45462.70,14022,93009.66,18585,13773.42,176,0.77,39,4.08,68223,33297.92,1980,3402.46,175734,128385.22,36.81,
Ramgarh,48124,30390.21,14807,9552.71,5106,14845.90,6738,7171.16,1939,7.81,154,62.13,33569,13443.51,3859,2661.91,71931,53623.46,13.29,
Ranchi,1065528,346182.38,427439,147002.55,15754,74552.44,1918989,131536.77,9390,20.34,625,75.57,88476,40543.96,10981,19590.25,1218504,470799.33,11.24,
Sahibganj,58147,43195.38,24044,19964.51,7512,27201.23,11163,10994.17,620,1.57,31,2.04,36333,17344.29,1651,2277.57,82116,59947.06,40.17,
Seraikela-Kharsawan,156357,66206.74,69236,28147.70,6710,28952.79,23723,8706.31,2643,2.97,298,25.78,25437,14965.68,736,998.18,187964,87351.88,19.29,
Simdega,29308,17037.19,14513,8345.83,4672,10086.29,9062,4592.72,884,0.41,43,4.14,9704,3611.58,510,511.27,35535,25366.76,39.41,
West Singhbhum,76395,51805.08,47564,34885.25,10002,41681.63,11927,11348.68,5645,7.83,459,35.38,29153,13918.49,512,1764.48,105126,87163.65,20.40,
